,city,violent_crime_rate,property_crime_rate
1,Adelanto,6.06,25.31
2,Agoura Hills,0.82,11.27
3,Alameda,1.88,22.36
4,Albany,1.6,24.7
5,Alhambra,1.98,20.52
6,Aliso Viejo,0.69,5.39
7,Alturas,11.09,34.03
8,American Canyon,2.7,27.87
9,Anaheim,3.17,23.62
10,Anderson,9.43,60.63
11,Angels,1.88,12.92
12,Antioch,7.84,38.72
13,Apple Valley,2.97,23.19
14,Arcadia,1.04,20
15,Arcata,4.39,39.55
16,Arroyo Grande,2.92,19.97
17,Artesia,2.92,17.51
18,Arvin,8.62,23.51
19,Atascadero,2.46,15.31
20,Atherton,0.42,10.39
21,Atwater,6.28,35.36
22,Auburn,3.13,21.01
23,Avalon,5.29,23.52
24,Avenal,1.29,11.07
25,Azusa,3.42,22.08
26,Bakersfield,4.57,39.72
27,Baldwin Park,2.85,17.44
28,Banning,4.17,20.16
29,Barstow,9.29,33.45
30,Beaumont,1.72,23.57
31,Bell,6.02,19.91
32,Bellflower,3.76,20.85
33,Bell Gardens,2.51,16.48
34,Belmont,1.34,13.8
35,Belvedere,0.47,16.86
36,Benicia,0.94,17.43
37,Berkeley,3.66,43.33
38,Beverly Hills,3.19,30.79
39,Big Bear Lake,8.55,50.89
40,Biggs,9.99,12.93
41,Bishop,6.99,33.16
42,Blythe,4.47,38.03
43,Bradbury,1.85,8.3
44,Brawley,2.69,39.7
45,Brea,1.28,27.18
46,Brentwood,1.83,22.39
47,Brisbane,2.45,29.67
48,Broadmoor,2.3,11.05
49,Buellton,1.2,14.21
50,Buena Park,2.6,24.34
51,Burbank,1.43,23.1
52,Burlingame,1.56,24.87
53,Calabasas,0.78,10.36
54,Calexico,2.43,41.19
55,California City,6,36.53
56,Calimesa,2.06,31.44
57,Calistoga,0.57,13.83
58,Camarillo,1.09,14.56
59,Campbell,1.98,33.96
60,Canyon Lake,1.18,11.65
61,Capitola,2.96,61.87
62,Carlsbad,1.82,15.41
63,Carmel-by-the-Sea,3.36,26.87
64,Carpinteria,1.39,14.43
65,Carson,3.65,22.79
66,Cathedral City,2.4,22.37
67,Ceres,3.09,33.77
68,Cerritos,1.72,30.58
69,Chico,3.84,36.28
70,Chino,2.28,22.25
71,Chino Hills,0.79,13.38
72,Chowchilla,5.21,19.44
73,Chula Vista,2.35,17.41
74,Citrus Heights,4.54,31.38
75,Claremont,1.08,23.67
76,Clayton,0.34,9.53
77,Clearlake,6.5,45.66
78,Cloverdale,1.71,19.51
79,Clovis,2.14,30.43
80,Coachella,3.8,26.4
81,Coalinga,7.36,19.15
82,Colma,7.98,180.31
83,Colton,2.56,29.45
84,Colusa,1.51,17.67
85,Commerce,5.91,74.04
86,Compton,11.49,26.66
87,Concord,3.67,41
88,Corcoran,3.73,12.66
89,Corning,4.62,40.82
90,Corona,1.06,21.35
91,Coronado,0.73,23.31
92,Costa Mesa,2.82,30.72
93,Cotati,4.45,9.43
94,Covina,2.26,22.76
95,Crescent City,8.89,26.94
96,Cudahy,3.35,13.73
97,Culver City,4.27,42.79
98,Cupertino,0.66,16.94
99,Cypress,1.03,15.23
100,Daly City,1.84,15.95
101,Dana Point,2.07,13.52
102,Danville,0.39,10.05
103,Davis,1.27,21.93
104,Delano,4.12,28.45
105,Del Mar,4.18,31.82
106,Del Rey Oaks,0.59,30.9
107,Desert Hot Springs,5.98,41.3
108,Diamond Bar,0.86,12.74
109,Dinuba,7.85,39.18
110,Dixon,2.77,22.4
111,Dorris,5.56,14.46
112,Dos Palos,10.04,30.51
113,Downey,2.47,25.5
114,Duarte,2.48,16.13
115,Dublin,1.3,14.83
116,Dunsmuir,3.19,10.83
117,East Palo Alto,4.22,19.54
118,Eastvale,1.06,16.74
119,El Cajon,3.18,21.9
120,El Centro,3.84,48.13
121,El Cerrito,3.14,37.82
122,Elk Grove,3.82,18.85
123,El Monte,2.87,19.04
124,El Paso de Robles (Paso Robles),4.02,25.32
125,El Segundo,2.83,31.67
126,Emeryville,10.66,146.1
127,Encinitas,1.68,14.63
128,Escalon,1.37,23.49
129,Escondido,3.42,20.2
130,Etna,0,1.4
131,Eureka,5.4,81.06
132,Exeter,4.47,28.98
133,Fairfax,2.09,13.6
134,Fairfield,4.71,35.11
135,Farmersville,4.84,15.35
136,Ferndale,2.21,12.5
137,Fillmore,3,7.97
138,Firebaugh,9.1,36.3
139,Folsom,1.08,17.8
140,Fontana,3.47,18.14
141,Fort Bragg,3.73,35.33
