,zipcode,county_name,city,population,population_rank,city_name,aland,median_household_income,average_household_income,per_capita_income,percent_of_households_with_incomes_200000_or_more,householder_under_25_years,householder_65_years_and_over,hhi_lt_25k,hhi_200k_or_more,race_and_ethnicity_total,population_density_sq_mi,median_age,educational_attainment_bachelors,educational_attainment_graduate,family_poverty_pct,unemployment_pct,housing_units,median_value_of_owner_occupied_units
0,90242,Los Angeles,Downey,112322,59,Downey,11788002,71233,85792,26335,0.06,50833,55821,1494,738,42694,9384.0,34.1,0.144,0.065,0.076,0.057,12713,513900
1,90747,Los Angeles,Carson,92079,83,Carson,16629,72803,91209,28026,0.07874,50136,53804,1258,704,33215,4884.0,39.7,0.1885,0.07477,0.081,0.0643,9331,464175
2,91501,Los Angeles,Burbank,103703,71,Burbank; Glendale,10275284,67817,94589,38247,0.12,52500,29708,1650,965,20511,5170.0,40.5,0.281,0.148,0.09705,0.081,8417,770500
3,92115,San Diego,San Diego,1409573,2,San Diego,16845692,51636,73784,25970,0.053,30872,39735,5432,1130,64343,9896.0,28.3,0.202,0.12396,0.114,0.065,23089,499100
4,92543,Riverside,Hemet,84542,100,East Hemet; Hemet,45646461,33319,45497,16435,0.013,35477,24955,4907,160,38314,2174.0,35.2,0.057,0.02301,0.2379,0.15,14367,136600
5,95123,Santa Clara,San Jose,1027690,3,San Jose,21456017,117579,136396,47390,0.212,53162,69433,1817,4917,68766,8300.0,37.4,0.292,0.152,0.037,0.04602,24209,806300
6,90079,Los Angeles,Los Angeles,3966936,1,Los Angeles,25585,73458,105756,43250,0.11755,41391,52628,2812,1360,37225,11300.0,37.4,0.2499,0.1455,0.1265,0.06683,14122,769723
7,90008,Los Angeles,Los Angeles,3966936,1,Ladera Heights; Los Angeles; View Park-Windsor Hills,9513272,43364,69070,33723,0.058,36087,39660,4960,855,31754,8650.0,43.2,0.165,0.135,0.168,0.101,16147,701800
8,90047,Los Angeles,Los Angeles,3966936,1,Los Angeles; West Athens; Westmont,12252022,52605,66946,25360,0.029,25951,45453,4710,512,51411,10860.0,38.4,0.101,0.052,0.117,0.085,18802,433700
9,90048,Los Angeles,Los Angeles,3966936,1,Los Angeles; West Hollywood,4884083,100586,148754,81692,0.203,67679,58360,1322,2366,21489,11390.0,37.7,0.4368,0.2479,0.029,0.05103,13344,1229900
10,90059,Los Angeles,Compton,96803,77,Compton; Los Angeles; West Rancho Dominguez; Willowbrook,8581852,44838,56541,14807,0.013,45382,32604,3439,141,46185,13940.0,27.7,0.05603,0.02,0.2421,0.10706,11363,348100
11,90059,Los Angeles,Los Angeles,3966936,1,Compton; Los Angeles; West Rancho Dominguez; Willowbrook,8581852,44838,56541,14807,0.013,41391,32604,3439,141,46185,13940.0,27.7,0.05603,0.02,0.2421,0.10706,11363,348100
12,90061,Los Angeles,Los Angeles,3966936,1,Los Angeles; West Rancho Dominguez,6893902,42500,57231,16848,0.01599,41391,24688,2479,120,27873,10470.0,31.2,0.057,0.017,0.236,0.057,7674,361500
13,90062,Los Angeles,Los Angeles,3966936,1,Los Angeles,5008333,49443,67726,20879,0.024,43938,44224,2519,242,35916,18580.0,34.6,0.10297,0.02802,0.151,0.045,10680,444000
14,90023,Los Angeles,Los Angeles,3966936,1,Commerce; East Los Angeles; Los Angeles,10940489,42972,54607,15094,0.019,44188,24664,3333,224,46680,11050.0,31.4,0.048,0.018,0.221,0.076,12216,427300
15,90024,Los Angeles,Los Angeles,3966936,1,Los Angeles,7605358,65855,135393,46935,0.18,11634,95058,4474,2972,51627,17580.0,22.6,0.336,0.39,0.079,0.079,19519,1184100
16,90025,Los Angeles,Los Angeles,3966936,1,Los Angeles,6654367,87280,117163,57137,0.139,53028,51424,3257,3064,46883,18240.0,34.0,0.4092,0.279,0.058,0.04398,23386,867400
17,90027,Los Angeles,Los Angeles,3966936,1,Los Angeles,21066614,66947,103501,52257,0.1,40000,28833,4858,2162,44770,5504.0,38.1,0.357,0.1891,0.086,0.06,23899,1146900
18,90028,Los Angeles,Los Angeles,3966936,1,Los Angeles,3947879,45499,67298,39513,0.048,43477,13316,5208,784,29774,19540.0,36.3,0.353,0.1279,0.141,0.081,20139,792800
19,90029,Los Angeles,Los Angeles,3966936,1,Los Angeles,3526894,41998,60177,25449,0.038,47232,19176,4222,531,36668,26930.0,36.2,0.229,0.072,0.1791,0.078,15365,719900
20,90031,Los Angeles,Los Angeles,3966936,1,Los Angeles,8944278,48479,70691,22620,0.043,55909,25827,2934,507,39916,11560.0,35.6,0.1539,0.06396,0.1709,0.085,12387,550000
21,90032,Los Angeles,East Los Angeles,121187,52,East Los Angeles; Los Angeles,12347321,57225,74960,22803,0.054,32169,41495,2887,724,48031,10070.0,34.0,0.1489,0.053,0.16,0.086,14274,504700
22,90032,Los Angeles,Los Angeles,3966936,1,East Los Angeles; Los Angeles,12347321,57225,74960,22803,0.054,32169,41495,2887,724,48031,10070.0,34.0,0.1489,0.053,0.16,0.086,14274,504700
23,90717,Los Angeles,Los Angeles,3966936,1,Lomita; Los Angeles,5131144,71388,93904,38172,0.085,35945,49638,1567,724,21508,10856.0,39.8,0.244,0.111,0.06396,0.03099,8872,603200
24,91387,Los Angeles,Santa Clarita,213411,18,Santa Clarita,128267763,98371,117766,36908,0.151,59808,64830,1117,1934,42034,849.0,34.5,0.231,0.1,0.063,0.055,13436,536200
25,90660,Los Angeles,Pico Rivera,63001,145,Pico Rivera,20071543,67636,80793,23449,0.042,38457,43966,2840,707,63001,8130.0,37.1,0.09296,0.036,0.076,0.05103,17377,440600
26,90680,Orange,Garden Grove,173258,29,Garden Grove; Stanton,6994513,59220,77241,24422,0.04602,46058,32966,1819,412,30531,11304.0,35.4,0.1489,0.053,0.135,0.045,9360,400200
27,91706,Los Angeles,Baldwin Park,75892,117,Baldwin Park; Irwindale,34792419,65755,77187,20220,0.035,61250,50714,3207,639,76930,5730.0,35.0,0.11,0.02199,0.108,0.058,19168,409400
28,91208,Los Angeles,Glendale,200232,24,Glendale,17875561,108374,150009,56533,0.2421,85754,86250,581,1417,15860,2298.0,43.8,0.34,0.231,0.043,0.038,6196,915100
29,91210,Los Angeles,Glendale,200232,24,Glendale,114007,135741,168220,72699,0.276,76135,37569,35,63,529,12020.0,35.1,0.439,0.291,0.1691,0.07697,319,475900
30,92782,Orange,Orange,139887,41,Irvine; Orange; Tustin,8707563,118438,165854,58542,0.278,45204,103056,534,2220,23084,6868.0,37.8,0.395,0.265,0.043,0.035,8629,787200
31,93702,Fresno,Fresno,525010,5,Fresno,13643087,27159,40320,11946,0.009,23973,21776,5439,105,43601,8280.0,28.3,0.045,0.01401,0.38,0.104,12767,123500
32,94065,San Mateo,Redwood City,85784,97,Redwood City,5910432,172663,210656,88777,0.4219,76875,96713,392,2194,12461,5460.0,42.1,0.344,0.4182,0.027,0.04602,5275,1332000
33,94519,Contra Costa,Concord,129183,45,Concord,11363905,96540,113218,40243,0.115,62365,73384,610,795,20041,4570.0,38.0,0.232,0.114,0.059,0.059,7176,510200
34,90001,Los Angeles,Los Angeles,3966936,1,Florence-Graham; Huntington Park; Los Angeles,9071081,43360,54325,13727,0.007004,41207,31250,3646,97,59832,17090.0,29.1,0.048,0.007996,0.2329,0.08704,14174,359000
35,90002,Los Angeles,Florence-Graham,65716,137,Florence-Graham; Los Angeles; Lynwood,7930602,37285,49724,13284,0.012,29455,23235,4562,152,53302,17400.0,28.0,0.047,0.012,0.312,0.09705,13546,345900
36,90002,Los Angeles,Los Angeles,3966936,1,Florence-Graham; Los Angeles; Lynwood,7930602,37285,49724,13284,0.012,29455,23235,4562,152,53302,17400.0,28.0,0.047,0.012,0.312,0.09705,13546,345900
37,90002,Los Angeles,Lynwood,70635,125,Florence-Graham; Los Angeles; Lynwood,7930602,37285,49724,13284,0.012,29455,23235,4562,152,53302,17400.0,28.0,0.047,0.012,0.312,0.09705,13546,345900
38,90003,Los Angeles,Los Angeles,3966936,1,Los Angeles,9197635,40598,51181,13441,0.009,37159,30438,5667,157,73730,20770.0,28.3,0.04398,0.01401,0.287,0.09,18523,362800
39,91351,Los Angeles,Santa Clarita,213411,18,Santa Clarita,24789132,81758,98320,31710,0.07104,56441,57926,979,717,32711,3418.0,37.0,0.1809,0.073,0.068,0.061,10425,427400
40,95993,Sutter,Yuba City,66516,133,Yuba City,221544746,69019,93435,31433,0.069,45788,61307,1652,845,37077,433.5,37.8,0.143,0.086,0.105,0.076,12681,316700
41,96001,Shasta,Redding,91580,84,Keswick; Redding; Shasta,227815531,55821,78446,32785,0.058,32647,46419,3204,817,34293,390.0,41.6,0.1659,0.11206,0.08,0.05603,15020,284700
42,96002,Shasta,Redding,91580,84,Redding,78346887,61055,78188,29627,0.047,53711,50361,2391,591,34196,1130.0,37.4,0.147,0.069,0.11896,0.05,13576,257700
43,96003,Shasta,Redding,91580,84,Bella Vista; Mountain Gate; Palo Cedro; Redding; Shasta Lake,615250582,53512,71816,30305,0.04602,34669,43750,4434,844,44328,186.6,40.8,0.172,0.08203,0.11206,0.05,19871,262000
44,96007,Shasta,Redding,91580,84,Anderson; Redding,335720417,49044,66552,26520,0.037,48563,38008,2353,333,23228,179.2,40.2,0.108,0.039,0.123,0.06198,9723,225200
45,91303,Los Angeles,Los Angeles,3966936,1,Los Angeles,5603164,61250,77582,26073,0.042,42857,42112,1839,429,31586,14600.0,32.2,0.1691,0.07104,0.144,0.055,10575,465100
46,94401,San Mateo,San Mateo,104333,70,San Mateo,8257745,93850,127116,45453,0.193,71118,68189,1405,2391,36001,11290.0,35.7,0.237,0.1759,0.067,0.052,13507,833000
47,90010,Los Angeles,Los Angeles,3966936,1,Los Angeles,1184444,63112,82447,44814,0.08,41391,26875,495,163,3822,8360.0,37.1,0.395,0.106,0.1271,0.079,2459,866000
48,90011,Los Angeles,Los Angeles,3966936,1,Los Angeles,11100440,40940,52535,12931,0.01,46029,31194,7222,249,111165,25940.0,28.7,0.037,0.01599,0.297,0.08203,25496,377600
49,90012,Los Angeles,Los Angeles,3966936,1,Los Angeles,8379980,47027,74907,30023,0.06198,35804,15589,4650,815,36552,11300.0,35.3,0.22,0.11,0.19,0.073,14156,533200
50,90013,Los Angeles,Los Angeles,3966936,1,Los Angeles,1737688,22316,65566,41048,0.07104,31755,12461,3873,521,12559,18720.0,43.3,0.2559,0.12103,0.116,0.10297,8687,657400
51,90014,Los Angeles,Los Angeles,3966936,1,Los Angeles,733426,40641,67825,46007,0.06,36029,12041,2525,336,8688,30690.0,41.7,0.3171,0.12396,0.165,0.079,6305,544500
52,95833,Sacramento,Sacramento,500930,6,Sacramento,20071718,63418,82805,31358,0.057,36524,60625,2162,830,39905,5148.0,31.5,0.212,0.1,0.089,0.061,15414,293400
53,90822,Los Angeles,Long Beach,466776,7,Long Beach,420822,68372,90614,14920,0.08905,41443,47284,2849,1200,133,818.5,73.1,0.03,0.263,0.1079,0.05386,15850,541078
54,91767,Los Angeles,Pomona,152209,37,Pomona,14561286,62153,76865,23170,0.039,33750,46144,2851,546,50606,9000.0,33.8,0.1371,0.05603,0.158,0.07697,14774,392100
55,92701,Orange,Santa Ana,332794,11,Santa Ana,8464671,52372,65797,17064,0.027,78929,25152,2802,362,55058,16850.0,29.5,0.079,0.03,0.1841,0.04602,13683,448100
56,93711,Fresno,Fresno,525010,5,Fresno,29213968,73930,108756,46464,0.101,47028,65399,1969,1613,38007,3370.0,43.8,0.26,0.175,0.059,0.067,16808,357300
57,94116,San Francisco,San Francisco,874961,4,San Francisco,6699043,116089,163000,57758,0.262,71542,68342,1711,4254,47346,18300.0,44.4,0.3618,0.188,0.02301,0.048,16929,1080100
58,95928,Butte,Chico,94529,81,Butte Creek Canyon; Chico; Durham,356023064,52913,81407,32216,0.076,27447,50255,3972,1107,37735,274.5,31.5,0.262,0.131,0.152,0.1,16436,343000
59,95973,Butte; Tehama,Chico,94529,81,Chico; Cohasset; Nord,861894938,69551,96386,38021,0.085,47167,55500,2474,1214,36682,110.2,36.4,0.2471,0.129,0.063,0.038,15236,353000
