"zip","rank","rankOf","rankStars","rankStatewidePercentage","averageStandardScore","has_elementary","has_middle","has_high"
"90001","2499.6","3770","1.6","32.665","30.65371","1","1","1"
"90002","3507.25","4490.75","1","22.12","22.59365","1","1","1"
"90003","2792.88889","4293.44444","2","40.26444","38.4846","1","1","1"
"90004","2183.625","4875","2.625","55.1175","51.60555","1","0","1"
"90005","2005.375","3649.5","2.25","45.96","42.58934","1","1","1"
"90006","4072","4764.33333","0.66667","13.33833","16.78362","1","1","0"
"90007","3058.5","4033.75","1.625","32.0225","31.49634","1","1","1"
"90008","3114.83333","4155","1.33333","30.43667","29.8983","1","1","1"
"90010","1012","2715","3","62.73","55.44612","0","1","0"
"90011","3042.1","4135.6","1.5","28.187","27.13518","1","1","1"
"90012","2104.4","4326.6","2.8","55.424","54.06308","1","0","1"
"90015","2366.8","4326.6","2.4","47.71","45.67186","1","0","1"
"90016","3106.33333","4667.33333","1.66667","31.20333","28.8653","1","1","1"
"90017","2766.16667","3448.66667","1.16667","23.12167","23.10657","1","1","1"
"90018","2515","4443","2.4","47.354","43.34351","1","1","1"
"90019","2977.375","4106.5","1.5","30.97125","30.71476","1","1","1"
"90020","3994","5789","2","31.01","29.22691","1","0","0"
"90021","2830.66667","3448.66667","0.66667","14.95","16.33545","1","1","1"
"90022","2809","4388.42857","1.71429","36.10571","33.53795","1","1","1"
"90023","3371","4827.57143","1.71429","33.58429","32.61264","1","1","1"
"90024","494","4764.33333","4.33333","83.90333","81.07223","1","1","0"
"90025","1599","4326.6","3.4","66.758","65.13456","1","0","1"
"90026","2107.6","3961","2.3","46.807","44.30419","1","0","1"
"90027","878.66667","4570.33333","4.33333","79.98667","78.22248","1","0","1"
"90028","1822.42857","3783","2.28571","46.51429","43.19571","1","1","1"
"90029","3221.5","5020.5","2.25","41.26","39.5489","1","1","0"
"90031","2959.9","4750.4","1.7","38.721","36.88385","1","1","1"
"90032","2624.375","4490.75","2.5","49.5675","48.2025","1","1","1"
"90033","2676","3961","1.9","38.363","37.85723","1","0","1"
"90034","1699.875","4106.5","2.75","55.65625","53.72526","1","1","1"
"90035","1833.66667","4570.33333","3.33333","67.16667","67.2522","1","0","1"
"90036","965","5789","4","83.33","84.02783","1","0","0"
"90037","2967.11111","4976.55556","1.88889","41.80111","40.22294","1","0","1"
"90038","3653","4764.33333","1","22.39333","23.16125","1","1","0"
"90039","2180.2","5789","3.2","62.342","60.08788","1","0","0"
"90040","4756.5","5789","1","17.835","20.46517","1","0","1"
"90041","1080","4326.6","3.6","73.79","71.04146","1","0","1"
"90042","3158","4875","1.75","37.71125","36.22587","1","0","1"
"90043","3543.33333","4228.77778","1","22.44444","23.75171","1","1","1"
"90044","3178.22222","3822.55556","0.88889","18.55222","19.87969","1","1","1"
"90045","1602.5","4764.33333","3","61.69167","59.18897","1","1","0"
"90046","2051.5","4875","3","60.5925","60.57498","1","0","1"
"90047","1561","2249.4","1.6","31.134","28.22572","0","1","1"
"90048","3036","5789","2.5","47.555","43.2161","1","0","0"
"90049","1161","5789","4","79.94333","78.1055","1","0","0"
"90057","3254.16667","4570.33333","1.5","34.45","33.91036","1","0","1"
"90058","4238","5789","1.5","26.795","27.14027","1","0","0"
"90062","3201.57143","3593.28571","0.71429","13.76429","15.89417","1","1","1"
"90063","1871.125","3192.5","2","41.61","39.03362","1","1","1"
"90064","1270.6","4443","3","60.158","58.77761","1","1","1"
"90065","2813.11111","4635","2.11111","45.21","44.45509","1","1","1"
"90066","1702.42857","4910.71429","3.28571","60.44571","58.05892","1","1","1"
"90069","624","5789","4","89.22","90.33614","1","0","0"
"90071","414.5","2133","4","80.57","77.18585","0","0","1"
"90094","1527","5789","4","73.62","71.75773","1","0","0"
"90201","3284.75","4490.75","1.625","30.1175","29.56184","1","1","1"
"90211","980","5789","4","83.07","83.73632","1","0","0"
"90212","410.5","3961","4.5","90.05","88.96597","0","1","1"
"90220","2653.71429","3949.28571","1.28571","28.09857","26.98766","1","1","1"
"90221","3116.16667","5179.66667","2","38.84667","35.51231","1","0","1"
"90222","2585.1","4384.8","1.9","40.82","38.75098","1","1","1"
"90230","839.28571","4305.28571","3.71429","75.74429","74.39934","1","1","1"
"90232","1527.5","5789","3.5","73.615","72.01711","1","0","0"
"90241","1701","3711.8","2.4","50.736","47.01372","1","1","1"
"90242","2335.6","5174.2","2.8","55.244","50.47076","1","1","1"
"90245","676.75","3119.75","3.75","71.27","69.76054","1","1","1"
"90247","3119.85714","4910.71429","1.85714","36.32","33.70068","1","1","0"
"90250","2092.85714","3783","2.28571","43.34571","40.61589","1","1","1"
"90254","124","2715","5","95.43","95.27677","1","1","0"
"90255","2090.6","3711.8","2.3","45.471","42.01604","1","1","1"
"90260","1887.3","3653.6","2.4","44.508","42.50324","1","1","1"
"90262","2759.2","4135.6","1.6","31.446","29.66095","1","1","1"
"90270","2765.33333","4570.33333","2.33333","41.39","38.45059","1","0","1"
"90277","517.2","3711.8","4","79.596","78.46493","1","1","1"
"90278","434.83333","5276.66667","4.66667","91.815","92.20865","1","1","0"
"90280","2700.33333","5382.77778","2.44444","52.29111","48.6821","1","0","1"
"90290","915","5789","4","84.19","84.75867","1","0","0"
"90292","3557","5789","2","38.56","34.69587","1","0","0"
"90301","2685.2","3404.4","1.1","23.671","24.53194","1","1","1"
"90303","3745.375","4947.75","1.375","26.425","25.79473","1","1","1"
"90304","2203.28571","4827.57143","2.85714","55.86286","51.08677","1","1","1"
"90403","187.66667","4764.33333","5","95.62333","95.52891","1","1","0"
"90404","1122","5789","4","80.615","81.02493","1","0","0"
"90405","971.5","4667.33333","4.16667","80.48167","79.14758","1","1","1"
"90501","1499.2","4443","3","59.938","56.5964","1","1","1"
"90503","536","3944.6","4.4","86.786","86.00321","1","1","0"
"90504","970","4388.42857","3.85714","78.50571","76.69691","1","1","1"
"90505","415.75","4252","4.75","90.6675","91.23773","1","1","0"
"90602","3021","5789","2","47.815","42.76524","1","0","0"
"90604","1450.71429","3866.14286","2.85714","59.10714","55.96768","1","1","1"
"90606","1733.85714","4388.42857","3","60.84571","55.64309","1","1","1"
"90620","1623","5349.85714","3.28571","68.38714","65.31575","1","1","1"
"90621","2644.5","5179.66667","2.66667","49.27833","45.86773","1","0","1"
"90631","2878.75","4947.75","2","44.075","42.59353","1","1","1"
"90638","1463","4827.57143","3.42857","68.84","66.01703","1","1","1"
"90640","3274.83333","4155","1.16667","24.21167","25.25656","1","1","1"
"90650","3108","5116","1.8","38.073","36.63036","1","1","1"
"90680","1983","5789","3","65.75","61.70314","1","0","0"
"90701","2096.75","5020.5","3","59.5575","55.4089","1","1","0"
"90703","656.5","4077.4","4.1","80.618","79.32795","1","1","1"
"90706","2600.2","5057.8","2.8","51.352","46.9868","1","0","1"
"90710","2684","3961","1.83333","32.75667","30.89731","1","0","1"
"90712","2067.25","4947.75","2.875","55.01125","52.60848","1","1","1"
"90715","2754","5057.8","2.4","46.12","41.88102","1","0","1"
"90717","1754.66667","4764.33333","3.33333","61.23333","56.87502","1","1","0"
"90720","142.875","4563.5","5","96.5375","96.12427","1","1","1"
"90723","2765.1","4866.8","2.1","41.916","37.95183","1","1","0"
"90731","2723.88889","4570.33333","2.22222","44.73667","42.69288","1","0","1"
"90740","520","5789","5","91.02","92.02151","1","0","0"
"90744","2960.11111","4570.33333","1.88889","38.69111","38.49912","1","0","1"
"90747","25","2133","5","98.83","98.8618","0","0","1"
"90755","1365.5","4252","3.5","65.295","60.37022","1","1","0"
"90802","2617.25","5020.5","2.5","47.235","42.78135","1","1","0"
"90803","640.8","5174.2","4.6","88.09","87.01221","1","1","0"
"90804","1875.4","4443","3","58.28","52.89015","1","1","1"
"90805","2909.125","4947.75","2","39.87125","36.15043","1","1","1"
