schoolid,schoolName,city,zip,lowGrade,highGrade,schoolLevel,isCharterSchool,isMagnetSchool,isVirtualSchool,isTitleISchool,rank,rankOf,rankStars,rankLevel,rankStatewidePercentage,averageStandardScore,isPrivate
60846000832,Boys Republic High,Chino Hills,91709,9,12,High,No,No,No,No,2061,2133,0,High,3.38,9.80223,FALSE
60846009528,Butterfield Ranch Elementary,Chino Hills,91709,K,6,Elementary,No,No,No,No,1171,5789,4,Elementary,79.77,79.97529,FALSE
60846010299,Canyon Hills Junior High,Chino Hills,91709,7,8,Middle,No,No,No,No,336,2715,4,Middle,87.62,86.7801,FALSE
60846011737,Chaparral Elementary,Chino Hills,91709,K,6,Elementary,No,No,No,Yes,1885,5789,3,Elementary,67.44,63.96162,FALSE
60846010360,Chino Hills High,Chino Hills,91709,9,12,High,No,No,No,No,252,2133,4,High,88.19,86.32913,FALSE
60846010607,Chino Valley Learning Academy,Chino Hills,91709,7,12,High,No,No,No,Yes,,,,,,,FALSE
60846003822,Country Springs Elementary,Chino Hills,91709,K,6,Elementary,No,No,No,No,259,5789,5,Elementary,95.53,95.42632,FALSE
60846009125,Eagle Canyon Elementary,Chino Hills,91709,K,6,Elementary,No,No,No,No,904,5789,4,Elementary,84.38,84.96935,FALSE
60846009124,Gerald F. Litel Elementary,Chino Hills,91709,K,6,Elementary,No,No,No,No,1162,5789,4,Elementary,79.93,80.17582,FALSE
60846000841,Glenmeade Elementary,Chino Hills,91709,K,6,Elementary,No,No,No,Yes,2599,5789,3,Elementary,55.1,49.90712,FALSE
60142308662,Exeter Community Day,Exeter,93221,1,12,Other,No,No,No,Yes,,,,,,,FALSE
60142307466,Exeter Independent Study (Alternative),Exeter,93221,K,12,Other,No,No,No,Yes,,,,,,,FALSE
60142301504,Exeter Union High,Exeter,93221,9,12,High,No,No,No,Yes,588,2133,4,High,72.43,67.78395,FALSE
60142301505,Kaweah High,Exeter,93221,9,12,High,No,No,No,Yes,1662,2133,1,High,22.08,18.01795,FALSE
60142301501,Lincoln Elementary,Exeter,93221,K,5,Elementary,No,No,No,Yes,3698,5789,2,Elementary,36.12,32.96707,FALSE
60142301502,Rocky Hill Elementary,Exeter,93221,K,5,Elementary,No,No,No,Yes,3104,5789,2,Elementary,46.38,41.41707,FALSE
69999908248,Sierra View Junior Academy,Exeter,93221,K,10,Private,(n/a),(n/a),(n/a),(n/a),,,,,,,TRUE
60142310336,Wilson Middle,Exeter,93221,6,8,Middle,No,No,No,Yes,1607,2715,2,Middle,40.81,35.27964,FALSE
60927000939,Cold Spring Elementary,Santa Barbara,93108,K,6,Elementary,No,No,No,Yes,21,5789,5,Elementary,99.64,98.76227,FALSE
69999906208,Crane Country Day School,Santa Barbara,93108,K,8,Private,(n/a),(n/a),(n/a),(n/a),,,,,,,TRUE
62550003815,Montecito Union,Santa Barbara,93108,K,6,Elementary,No,No,No,Yes,92,5789,5,Elementary,98.41,97.68884,FALSE
69999948576,Our Lady Of Mount Carmel School,Santa Barbara,93108,PK,8,Private,(n/a),(n/a),(n/a),(n/a),,,,,,,TRUE
69999905557,All Hallows Academy,La Jolla,92037,K,8,Private,(n/a),(n/a),(n/a),(n/a),,,,,,,TRUE
69999944501,Beth Montessori,La Jolla,92037,PK,K,Private,(n/a),(n/a),(n/a),(n/a),,,,,,,TRUE
63432005421,Bird Rock Elementary,La Jolla,92037,K,5,Elementary,No,No,No,No,124,5789,5,Elementary,97.86,97.27338,FALSE
69999948492,La Jolla Country Day School,La Jolla,92037,PK,12,Private,(n/a),(n/a),(n/a),(n/a),,,,,,,TRUE
63432005495,La Jolla Elementary,La Jolla,92037,K,5,Elementary,No,No,No,No,3,5789,5,Elementary,99.95,99.36606,FALSE
63432005496,La Jolla High,La Jolla,92037,9,12,High,No,No,No,No,141,2133,5,High,93.39,92.35291,FALSE
69999944634,Montessori Institute Of San Diego Child House,La Jolla,92037,PK,6,Private,(n/a),(n/a),(n/a),(n/a),,,,,,,TRUE
63432005527,Muirlands Middle,La Jolla,92037,6,8,Middle,No,No,No,No,117,2715,5,Middle,95.69,95.46122,FALSE
69999908132,San Diego French American School,La Jolla,92037,PK,8,Private,(n/a),(n/a),(n/a),(n/a),,,,,,,TRUE
69999908799,Stella Maris Academy,La Jolla,92037,K,8,Private,(n/a),(n/a),(n/a),(n/a),,,,,,,TRUE
61314001490,Cadwallader Elementary,San Jose,95121,K,6,Elementary,No,No,No,No,1157,5789,4,Elementary,80.01,80.21935,FALSE
61314009366,Dove Hill Elementary,San Jose,95121,K,6,Elementary,No,No,No,Yes,2734,5789,3,Elementary,52.77,47.49165,FALSE
61314008631,James Franklin Smith Elementary,San Jose,95121,K,6,Elementary,No,No,No,No,244,5789,5,Elementary,95.79,95.71709,FALSE
61314001495,John J. Montgomery Elementary,San Jose,95121,K,6,Elementary,No,No,No,Yes,3739,5789,2,Elementary,35.41,32.37466,FALSE
61314001497,Laurelwood Elementary,San Jose,95121,K,6,Elementary,No,No,No,No,1275,5789,4,Elementary,77.98,77.40291,FALSE
61314001498,O. B. Whaley Elementary,San Jose,95121,K,6,Elementary,No,No,No,Yes,3817,5789,2,Elementary,34.06,31.5383,FALSE
61437011452,Ramblewood Elementary,San Jose,95121,K,6,Elementary,No,No,No,Yes,1262,5789,4,Elementary,78.2,77.71403,FALSE
69999907170,Scholars Academy,San Jose,95121,PK,4,Private,(n/a),(n/a),(n/a),(n/a),,,,,,,TRUE
61182001309,Silver Creek High,San Jose,95121,9,12,High,No,Yes,No,Yes,183,2133,5,High,91.42,89.42716,FALSE
61437001652,Stonegate Elementary,San Jose,95121,K,8,Elementary,No,No,No,Yes,3166,5789,2,Elementary,45.31,40.41897,FALSE
60009910791,Glenn County Regional Occupational Program,Willows,95988,9,12,High,No,(n/a),(n/a),(n/a),,,,,,,FALSE
69100809221,Glenn County Special Education,Willows,95988,K,12,Other,No,No,No,No,,,,,,,FALSE
64271006977,Murdock Elementary,Willows,95988,K,5,Elementary,No,No,No,Yes,4899,5789,1,Elementary,15.37,18.98725,FALSE
60242012983,Walden Academy,Willows,95988,K,8,Elementary,Yes,No,No,Yes,5464,5789,0,Elementary,5.61,11.79565,FALSE
64271007370,Willows Community High,Willows,95988,10,12,High,No,No,No,Yes,1952,2133,0,High,8.49,11.42227,FALSE
64271006978,Willows High,Willows,95988,9,12,High,No,No,No,Yes,1239,2133,2,High,41.91,38.74464,FALSE
64271006979,Willows Intermediate,Willows,95988,6,8,Middle,No,No,No,Yes,2203,2715,1,Middle,18.86,19.47145,FALSE
63384010358,Cesar Chavez Intermediate,Sacramento,95822,4,6,Middle,No,No,No,Yes,,,,,,,FALSE
63384005237,Edward Kemble Elementary,Sacramento,95822,K,3,Elementary,No,No,No,Yes,,,,,,,FALSE
63384005246,H. W. Harkness Elementary,Sacramento,95822,K,6,Elementary,No,No,No,Yes,4577,5789,1,Elementary,20.94,22.61608,FALSE
63384005248,Hollywood Park Elementary,Sacramento,95822,K,6,Elementary,No,No,No,Yes,5618,5789,0,Elementary,2.95,9.09362,FALSE
69999906796,Holy Spirit Parish School,Sacramento,95822,K,8,Private,(n/a),(n/a),(n/a),(n/a),,,,,,,TRUE
63384005254,John Bidwell Elementary,Sacramento,95822,K,6,Elementary,No,No,No,Yes,3901,5789,2,Elementary,32.61,30.36883,FALSE
63384005255,John Cabrillo Elementary,Sacramento,95822,K,6,Elementary,No,No,No,Yes,5272,5789,0,Elementary,8.93,14.54485,FALSE
63384005256,John D. Sloat Elementary,Sacramento,95822,K,6,Elementary,No,No,No,Yes,5727,5789,0,Elementary,1.07,6.05647,FALSE
63384011917,John Morse Therapeutic Center,Sacramento,95822,3,8,Middle,No,No,No,Yes,,,,,,,FALSE
