zipcode,county_name,city,population,population_rank,city_name,aland,median_household_income,average_household_income,per_capita_income,percent_of_households_with_incomes_200000_or_more,householder_under_25_years,householder_25_to_44_years,householder_45_to_64_years,householder_65_years_and_over,hhi_total,hhi_lt_25k,hhi_25k_to_49k,hhi_50k_to_749k,hhi_75k_to_999k,hhi_100k_to_1490k,hhi_150k_to_1999k,hhi_200k_or_more,race_and_ethnicity_total,population_density_sq_mi,median_age,educational_attainment_bachelors,educational_attainment_graduate,family_poverty_pct,unemployment_pct,housing_units,median_value_of_owner_occupied_units
90242,Los Angeles,Downey,112322,59,Downey,11788002,71233,85792,26335,0.06,50833,72602,80059,55821,12325,1494,2421,2614,2017,2296,745,738,42694,9384.0,34.1,0.144,0.065,0.076,0.057,12713,513900
90747,Los Angeles,Carson,92079,83,Carson,16629,72803,91209,28026,0.07874,50136,83132,84024,53804,9079,1258,1625,1572,1314,1772,832,704,33215,4884.0,39.7,0.1885,0.07477,0.081,0.0643,9331,464175
91501,Los Angeles,Burbank,103703,71,Burbank; Glendale,10275284,67817,94589,38247,0.12,52500,73562,83853,29708,8057,1650,1427,1508,909,1114,484,965,20511,5170.0,40.5,0.281,0.148,0.09705,0.081,8417,770500
92115,San Diego,San Diego,1409573,2,San Diego,16845692,51636,73784,25970,0.053,30872,57783,58611,39735,21203,5432,4875,3977,2178,2570,1041,1130,64343,9896.0,28.3,0.202,0.12396,0.114,0.065,23089,499100
92543,Riverside,Hemet,84542,100,East Hemet; Hemet,45646461,33319,45497,16435,0.013,35477,47364,33558,24955,12775,4907,3842,2112,837,705,212,160,38314,2174.0,35.2,0.057,0.02301,0.2379,0.15,14367,136600
95123,Santa Clara,San Jose,1027690,3,San Jose,21456017,117579,136396,47390,0.212,53162,135972,124433,69433,23201,1817,2414,2912,2632,4710,3799,4917,68766,8300.0,37.4,0.292,0.152,0.037,0.04602,24209,806300
90079,Los Angeles,Los Angeles,3966936,1,Los Angeles,25585,73458,105756,43250,0.11755,41391,80821,82962,52628,13101,2812,2665,2032,1527,1955,953,1360,37225,11300.0,37.4,0.2499,0.1455,0.1265,0.06683,14122,769723
90008,Los Angeles,Los Angeles,3966936,1,Ladera Heights; Los Angeles; View Park-Windsor Hills,9513272,43364,69070,33723,0.058,36087,44104,44580,39660,14858,4960,3325,2175,1177,1679,687,855,31754,8650.0,43.2,0.165,0.135,0.168,0.101,16147,701800
90047,Los Angeles,Los Angeles,3966936,1,Los Angeles; West Athens; Westmont,12252022,52605,66946,25360,0.029,25951,61845,53764,45453,17893,4710,3871,3166,2151,2605,878,512,51411,10860.0,38.4,0.101,0.052,0.117,0.085,18802,433700
90048,Los Angeles,Los Angeles,3966936,1,Los Angeles; West Hollywood,4884083,100586,148754,81692,0.203,67679,114819,103750,58360,11636,1322,1234,1864,1357,2432,1061,2366,21489,11390.0,37.7,0.4368,0.2479,0.029,0.05103,13344,1229900
90059,Los Angeles,Compton,96803,77,Compton; Los Angeles; West Rancho Dominguez; Willowbrook,8581852,44838,56541,14807,0.013,45382,45034,47577,32604,10906,3439,2601,2112,1061,1176,376,141,46185,13940.0,27.7,0.05603,0.02,0.2421,0.10706,11363,348100
90059,Los Angeles,Los Angeles,3966936,1,Compton; Los Angeles; West Rancho Dominguez; Willowbrook,8581852,44838,56541,14807,0.013,41391,45034,47577,32604,10906,3439,2601,2112,1061,1176,376,141,46185,13940.0,27.7,0.05603,0.02,0.2421,0.10706,11363,348100
90061,Los Angeles,Los Angeles,3966936,1,Los Angeles; West Rancho Dominguez,6893902,42500,57231,16848,0.01599,41391,41765,50393,24688,7396,2479,1695,1251,829,759,263,120,27873,10470.0,31.2,0.057,0.017,0.236,0.057,7674,361500
90062,Los Angeles,Los Angeles,3966936,1,Los Angeles,5008333,49443,67726,20879,0.024,43938,48583,54538,44224,10063,2519,2566,1616,1305,1419,396,242,35916,18580.0,34.6,0.10297,0.02802,0.151,0.045,10680,444000
90023,Los Angeles,Los Angeles,3966936,1,Commerce; East Los Angeles; Los Angeles,10940489,42972,54607,15094,0.019,44188,44057,49071,24664,11691,3333,3458,2052,1238,1096,290,224,46680,11050.0,31.4,0.048,0.018,0.221,0.076,12216,427300
90024,Los Angeles,Los Angeles,3966936,1,Los Angeles,7605358,65855,135393,46935,0.18,11634,76830,112377,95058,16515,4474,2346,1907,1375,2360,1081,2972,51627,17580.0,22.6,0.336,0.39,0.079,0.079,19519,1184100
90025,Los Angeles,Los Angeles,3966936,1,Los Angeles,6654367,87280,117163,57137,0.139,53028,99444,93072,51424,22015,3257,3256,2971,2807,4412,2248,3064,46883,18240.0,34.0,0.4092,0.279,0.058,0.04398,23386,867400
