ocean_related,environment_related,building_related,community_related,positive_comments,more_rural,more_urban,other,zip_code
0,7,1,7,1,1,1,2,92173
2,96,5,161,29,26,43,16,92201
1,52,0,96,20,5,13,6,92203
0,9,0,12,3,3,13,0,94301
6,28,1,69,8,6,23,5,94303
0,1,0,2,2,2,3,0,94304
2,18,0,27,4,3,14,2,94306
0,16,3,34,5,4,9,3,90220
4,14,2,28,4,8,17,3,90221
0,15,3,30,5,4,12,5,90222
0,17,0,31,0,1,19,2,90230
0,22,1,33,5,3,6,0,90240
0,34,0,38,6,7,24,1,90241
0,29,1,54,9,0,24,3,90242
6,44,0,89,7,13,36,5,90250
0,63,6,90,24,26,13,16,92307
0,48,2,77,19,19,13,17,92308
1,7,1,14,3,1,9,1,90262
0,11,1,24,1,3,15,4,92316
11,8,0,17,4,6,14,0,90277
16,33,0,57,7,8,27,2,90278
1,31,1,34,7,11,26,9,90280
0,20,0,41,5,6,17,5,92335
1,56,4,98,19,8,26,6,92336
0,28,0,33,6,13,13,3,92337
0,29,2,44,6,6,10,3,92344
0,36,3,51,10,8,12,7,92345
0,30,1,67,9,9,14,5,92346
2,10,0,24,5,3,15,1,90301
0,22,2,52,1,5,26,2,90302
0,2,0,4,0,0,4,0,90303
2,4,0,5,0,1,7,1,90304
3,7,0,19,1,5,24,1,94401
0,27,2,48,13,8,31,1,94402
3,52,0,83,10,17,24,1,94403
10,63,0,70,14,20,21,2,94404
0,11,1,14,4,3,6,1,90305
0,0,0,0,0,0,0,0,92368
1,38,5,37,20,16,9,8,92373
0,43,4,76,22,14,25,6,92374
0,20,1,37,4,6,21,1,92376
0,14,0,25,2,1,7,1,92377
0,35,1,63,12,10,14,5,92392
0,37,2,60,8,10,14,9,92394
2,33,0,50,8,10,17,10,92395
1,1,1,2,0,2,2,1,92401
0,40,2,69,9,12,20,8,92404
0,36,4,44,13,8,16,3,92405
2,70,2,73,18,36,15,14,92407
0,12,0,12,2,3,2,3,92408
2,12,2,31,4,4,18,7,92410
2,14,2,35,5,2,15,5,92411
1,6,4,23,0,5,35,6,90011
0,0,0,0,0,0,0,0,90014
2,2,0,1,1,1,2,1,90401
5,15,1,11,6,5,7,0,90402
5,5,1,4,4,2,9,0,90403
4,13,0,19,1,6,16,1,90404
4,14,0,22,1,6,13,0,90405
10,18,6,38,8,11,27,2,94501
5,12,2,18,5,3,4,1,94502
4,132,5,199,28,40,87,14,94509
1,167,1,310,37,36,41,17,94513
3,78,2,103,19,28,30,6,92056
0,63,0,100,12,26,24,5,94518
2,6,2,10,4,2,9,5,90021
0,35,0,64,5,15,34,2,94519
0,52,0,83,10,18,15,2,94521
3,85,3,134,23,21,28,5,92057
2,35,1,75,13,15,61,14,94520
0,78,1,118,35,34,40,8,94523
8,29,0,48,4,13,15,3,92058
1,16,6,30,6,10,27,9,90023
2,114,4,201,27,35,42,8,94531
4,173,6,273,55,47,88,28,94533
1,106,2,143,41,25,27,5,94534
1,47,1,75,14,15,18,3,94536
1,30,1,33,7,9,15,4,94538
1,39,2,42,17,20,15,8,94539
3,62,5,97,12,24,42,5,94541
0,13,0,18,4,4,0,1,94542
0,25,0,42,4,8,11,0,94544
0,16,0,32,2,4,15,2,94545
0,24,9,54,10,21,67,5,90026
1,73,1,102,13,31,15,12,94546
0,21,7,28,18,25,40,1,90027
1,82,4,145,33,20,44,12,94550
2,44,0,72,11,9,22,0,94551
0,26,1,36,9,11,8,5,92503
1,35,1,42,11,16,4,7,92504
1,26,1,34,8,9,8,3,92506
3,36,1,52,9,13,14,2,94555
0,27,0,47,5,5,2,4,92508
1,45,4,62,12,18,16,15,92509
0,91,2,104,25,31,40,7,94558
1,18,3,35,11,9,22,1,94559
0,9,1,16,0,6,8,0,92507
0,10,0,22,6,0,2,0,92505
7,134,3,213,27,43,60,13,94565
0,63,2,125,31,20,33,6,94566
0,22,1,29,7,3,15,3,94568
2,22,0,32,10,11,2,1,92067
0,13,1,36,2,20,7,1,90032
2,20,1,49,6,9,21,2,94577
1,20,1,51,4,11,19,6,94578
2,20,0,21,3,7,6,1,94579
0,4,6,17,1,4,25,3,90033
0,0,0,0,0,0,0,0,94104
0,44,1,54,18,17,10,6,94582
0,79,0,123,24,22,17,13,94583
0,46,2,79,13,12,27,11,92069
1,68,2,94,22,51,9,11,92530
1,0,0,1,0,1,7,0,94105
4,107,6,166,28,35,57,8,94587
0,40,1,70,17,19,33,7,94588
0,7,4,39,6,7,27,1,90035
10,58,12,82,25,15,34,14,94590
5,132,5,219,33,29,48,16,94591
4,9,1,10,2,3,1,0,94592
11,70,3,85,13,22,32,7,94589
1,61,4,93,15,37,9,16,92544
0,12,0,26,6,5,10,1,94595
0,17,0,34,10,4,14,1,94596
2,20,1,43,6,5,21,2,90501
0,55,0,76,17,27,33,6,94597
5,18,0,26,2,2,15,2,90503
0,40,0,59,7,16,18,0,94598
5,27,0,35,0,3,9,1,90505
0,8,1,21,3,6,15,1,94602
0,1,0,2,0,1,6,0,94108
2,2,2,2,1,3,17,1,94107
0,13,2,13,3,5,3,1,94605
0,3,0,14,1,7,15,0,94606
1,1,2,1,4,2,9,0,94109
2,7,2,17,1,4,17,0,94608
0,2,0,21,1,5,29,2,94609
0,4,3,27,11,8,27,0,94610
0,27,1,28,10,17,11,6,94611
0,5,4,21,3,5,32,0,90038
7,18,8,36,2,9,37,3,94607
0,0,0,2,1,3,12,2,94612
1,83,3,133,25,28,22,8,92562
0,57,0,94,16,12,15,6,92563
0,39,3,42,18,25,25,8,94618
0,10,1,54,8,4,13,0,94619
0,5,0,19,2,2,12,0,90041
0,51,2,64,14,47,8,22,92570
4,18,3,54,4,4,28,5,94621
0,43,1,69,14,12,16,8,92571
1,29,0,33,5,11,6,5,92582
0,62,1,102,15,25,14,4,92584
0,14,0,27,6,7,6,0,92585
0,31,1,44,5,10,16,3,92586
0,7,0,9,2,2,0,0,92587
0,3,0,2,1,1,8,1,92590
0,45,1,81,13,14,18,8,92591
0,59,0,103,15,27,16,10,92592
2,68,1,90,16,20,19,4,92081
0,15,0,22,3,5,3,2,92596
0,7,2,16,6,5,14,0,94117
1,33,0,53,9,10,13,5,92602
0,12,0,16,5,6,1,0,92603
1,28,0,39,2,6,10,4,92604
0,6,0,5,1,2,6,0,94118
0,30,1,51,3,6,17,2,92606
0,40,0,60,8,5,27,3,92083
0,18,0,20,3,5,3,1,92610
