zip,schoolid,rank,rankOf,rankStars,rankStatewidePercentage,averageStandardScore,isPrivate,has_elementary,has_middle,has_high
90001,61648258849.4,2499.6,3770.0,1.6,32.665,30.65371,0.0,True,True,True
90002,61851917079.6,3507.25,4490.75,1.0,22.119999999999997,22.59364875,0.0,True,True,True
90003,61036839816.8,2792.8888888888887,4293.444444444444,2.0,40.264444444444436,38.484602222222215,0.0,True,True,True
90004,61754895227.25,2183.625,4875.0,2.625,55.1175,51.60554875,0.0,True,False,True
90005,61588421844.77778,2005.375,3649.5,2.25,45.96,42.589337499999985,0.0,True,True,True
90006,61968377755.0,4072.0,4764.333333333333,0.6666666666666666,13.338333333333336,16.783618333333333,0.0,True,True,False
90007,61345486563.888885,3058.5,4033.75,1.625,32.0225,31.49634125,0.0,True,True,True
90008,61379150504.57143,3114.8333333333335,4155.0,1.3333333333333333,30.436666666666667,29.898301666666665,0.0,True,True,True
90010,61221662672.5,1012.0,2715.0,3.0,62.73,55.44611999999999,0.0,False,True,False
90011,61450681535.0,3042.1,4135.6,1.5,28.187,27.135184,0.0,True,True,True
90012,62271005855.2,2104.4,4326.6,2.8,55.424,54.06308,0.0,True,False,True
90014,60201910853.0,,,,,,0.0,True,False,False
90015,60903989438.22222,2366.8,4326.6,2.4,47.709999999999994,45.671864,0.0,True,False,True
90016,61502669424.625,3106.3333333333335,4667.333333333333,1.6666666666666667,31.203333333333333,28.865296666666666,0.0,True,True,True
90017,61563432830.0,2766.1666666666665,3448.6666666666665,1.1666666666666667,23.12166666666667,23.10657,0.0,True,True,True
90018,61232196676.625,2515.0,4443.0,2.4,47.354000000000006,43.343514,0.0,True,True,True
90019,61750770317.125,2977.375,4106.5,1.5,30.97125,30.714761250000002,0.0,True,True,True
90020,60174112738.0,3994.0,5789.0,2.0,31.01,29.226909999999997,0.0,True,False,False
90021,61687864966.71429,2830.6666666666665,3448.6666666666665,0.6666666666666666,14.949999999999998,16.335449999999998,0.0,True,True,True
90022,61650218649.6,2809.0,4388.428571428572,1.7142857142857142,36.10571428571429,33.53794571428572,0.0,True,True,True
90023,61442269930.8,3371.0,4827.571428571428,1.7142857142857142,33.58428571428571,32.61263857142857,0.0,True,True,True
90024,62271003142.333336,494.0,4764.333333333333,4.333333333333333,83.90333333333334,81.07222999999999,0.0,True,True,False
90025,61853684863.8,1599.0,4326.6,3.4,66.75800000000001,65.134558,0.0,True,False,True
90026,61228448969.2,2107.6,3961.0,2.3,46.807,44.30419,0.0,True,False,True
90027,62271003115.0,878.6666666666666,4570.333333333333,4.333333333333333,79.98666666666666,78.22248333333333,0.0,True,False,True
90028,61676592777.28571,1822.4285714285713,3783.0,2.2857142857142856,46.51428571428571,43.19571428571429,0.0,True,True,True
90029,62271006411.6,3221.5,5020.5,2.25,41.26,39.548905,0.0,True,True,False
90031,61860094954.8,2959.9,4750.4,1.7,38.721,36.883848,0.0,True,True,True
90032,62574551080.77778,2624.375,4490.75,2.5,49.567499999999995,48.2024975,0.0,True,True,True
90033,62745628063.9,2676.0,3961.0,1.9,38.363,37.857227,0.0,True,False,True
90034,62014691697.375,1699.875,4106.5,2.75,55.65625,53.72525875000001,0.0,True,True,True
