city_name,city_url,neighborhood_name,neighborhood_url,neighborhood_tags
acampo,https://nextdoor.com/city/acampo--ca/,"['acampoacampo', 'collierrd', 'colliervillewest', 'dogtownacampo', 'dustinrd', 'forestlakecommunity', 'grahamrdca', 'woodbridgeand']","['https://nextdoor.com/neighborhood/acampoacampo--acampo--ca/', 'https://nextdoor.com/neighborhood/collierrd--acampo--ca/', 'https://nextdoor.com/neighborhood/colliervillewest--acampo--ca/', 'https://nextdoor.com/neighborhood/dogtownacampo--acampo--ca/', 'https://nextdoor.com/neighborhood/dustinrd--acampo--ca/', 'https://nextdoor.com/neighborhood/forestlakecommunity--acampo--ca/', 'https://nextdoor.com/neighborhood/grahamrdca--acampo--ca/', 'https://nextdoor.com/neighborhood/woodbridgeand99--acampo--ca/']","[['Quiet', 'Rural', 'Safe', 'Dog Friendly', 'Family Friendly', 'Peaceful', 'Lake', 'Nature', 'Neighbors', 'Nice'], ['Safe', 'Peaceful', 'Open', 'Privacy', 'Quiet', 'Rural', 'Beautiful', 'Freeway Access', 'Nature', 'Trees'], ['Peaceful', 'Friendly', 'Dog Friendly', 'Open', 'Privacy', 'Quiet', 'Rural', 'Walking', 'Atmosphere', 'Beautiful'], ['Peaceful', 'Quiet', 'Rural', 'Privacy', 'Family Friendly', 'Friendly', 'Open', 'Beautiful', 'Dog Friendly', 'Large'], None, ['Peaceful', 'Rural', 'Pleasant', 'Dog Friendly', 'Neighbors', 'Quiet', 'Freeway Access', 'Nature', 'Open', 'Privacy'], ['Peaceful', 'Friendly', 'Quiet', 'Atmosphere', 'Family Friendly', 'Open', 'Dog Friendly', 'Houses', 'Large', 'Nice'], None]"
acton,https://nextdoor.com/city/acton--ca/,"['centralacton', 'shannonvalleyca']","['https://nextdoor.com/neighborhood/centralacton--acton--ca/', 'https://nextdoor.com/neighborhood/shannonvalleyca--acton--ca/']","[['Peaceful', 'Quiet', 'Beautiful', 'Rural', 'Dog Friendly', 'Nature', 'Safe', 'Friendly', 'Wildlife', 'Community'], ['Rural', 'Peaceful', 'Dog Friendly', 'Friendly', 'Nature', 'Hiking', 'Open', 'Clean', 'Family Friendly', 'Hills']]"
adelaide,https://nextdoor.com/city/adelaide--ca/,[],[],[]
adelanto,https://nextdoor.com/city/adelanto--ca/,"['adelantoca', 'americantraditions', 'asterrdca', 'chestnutca', 'dospalmasmaricopa', 'expressway', 'friendsvilleca', 'joshuaestates', 'loccothree', 'ridgemontheights', 'sierraparkca', 'sonomalaurie', 'staradelanto', 'torreylapaz', 'vistamanzanita']","['https://nextdoor.com/neighborhood/adelantoca--adelanto--ca/', 'https://nextdoor.com/neighborhood/americantraditions--adelanto--ca/', 'https://nextdoor.com/neighborhood/asterrdca--adelanto--ca/', 'https://nextdoor.com/neighborhood/chestnutca--adelanto--ca/', 'https://nextdoor.com/neighborhood/dospalmasmaricopa--adelanto--ca/', 'https://nextdoor.com/neighborhood/expressway--adelanto--ca/', 'https://nextdoor.com/neighborhood/friendsvilleca--adelanto--ca/', 'https://nextdoor.com/neighborhood/joshuaestates--adelanto--ca/', 'https://nextdoor.com/neighborhood/loccothree--adelanto--ca/', 'https://nextdoor.com/neighborhood/ridgemontheights--adelanto--ca/', 'https://nextdoor.com/neighborhood/sierraparkca--adelanto--ca/', 'https://nextdoor.com/neighborhood/sonomalaurie--adelanto--ca/', 'https://nextdoor.com/neighborhood/staradelanto--adelanto--ca/', 'https://nextdoor.com/neighborhood/torreylapaz--adelanto--ca/', 'https://nextdoor.com/neighborhood/vistamanzanita--adelanto--ca/']","[['Friendly', 'Family Friendly', 'Peaceful', 'Different', 'Nice', 'Pleasant', 'Dog Friendly', 'Kids', 'Neighbors', 'Quiet'], ['Family Friendly', 'Clean', 'Houses', 'Nice', 'Peaceful', 'Quiet', 'Weather', 'Atmosphere', 'Convenient', 'Different'], ['Neighbors', 'Peaceful', 'Atmosphere', 'Community', 'Dog Friendly', 'Family Friendly', 'Large', 'Open', 'Restaurants', 'Security'], ['Beautiful', 'Clean', 'Diversity', 'Dog Friendly', 'Family Friendly', 'Kids', 'Neighbors', 'Nice', 'Peaceful', 'Charm'], ['Friendly', 'Clean', 'Family Friendly', 'Food', 'Nice', 'Open', 'Walking', 'Beautiful', 'Dog Friendly', 'Kids'], None, ['Peaceful', 'Family Friendly', 'Convenient', 'Dog Friendly', 'Friendly', 'Hiking', 'Kids', 'Nice', 'Pleasant', 'Safe'], ['Friendly', 'Dog Friendly', 'Family Friendly', 'Quiet', 'Safe', 'Walking', 'Clean', 'Peaceful', 'Rural', 'Trails'], ['Neighbors', 'Community', 'Large', 'Atmosphere', 'Beach', 'Clean', 'Family Friendly', 'Food', 'Friendly', 'Houses'], ['Quiet', 'Friendly', 'Peaceful', 'Community', 'Birds', 'Family Friendly', 'Neighbors', 'Welcoming', 'Clean', 'Houses'], ['Family Friendly', 'Walking', 'Quiet', 'Schools', 'Kids', 'Peaceful', 'Restaurants', 'Shopping', 'Clean', 'Dog Friendly'], ['Friendly', 'Running', 'View'], ['Friendly', 'Clean', 'Dog Friendly', 'Family Friendly', 'Houses', 'Kids', 'Peaceful', 'Welcoming', 'Well Maintained', 'Beach'], ['Trees', 'Welcoming', 'Creek', 'Diversity', 'Dog Friendly', 'Family Friendly', 'Friendly', 'Nature', 'Quiet', 'River'], ['Family Friendly', 'Friendly', 'Quiet', 'Peaceful', 'Neighbors', 'Safe', 'Kids', 'Nice', 'Dog Friendly', 'Clean']]"
adin,https://nextdoor.com/city/adin--ca/,[],[],[]
agoura-hills,https://nextdoor.com/city/agoura-hills--ca/,"['agoura', 'annandaleii', 'avalonoakcreek', 'cornell', 'dorothydr', 'fountainwoodca', 'hillriseca', 'lakelindero', 'libertycanyon', 'malibulakeside', 'medeavalleyestates', 'morrisonranchestates', 'morrisonsouthmeadows', 'oakviewgardens', 'peacockridge', 'quailrunagourahills', 'reyesadobeeast', 'saratogahillsranch', 'seminolesprings', 'strawberryhillca', 'triunfolobo']","['https://nextdoor.com/neighborhood/agoura--agoura-hills--ca/', 'https://nextdoor.com/neighborhood/annandaleii--agoura-hills--ca/', 'https://nextdoor.com/neighborhood/avalonoakcreek--agoura-hills--ca/', 'https://nextdoor.com/neighborhood/cornell--agoura-hills--ca/', 'https://nextdoor.com/neighborhood/dorothydr--agoura-hills--ca/', 'https://nextdoor.com/neighborhood/fountainwoodca--agoura-hills--ca/', 'https://nextdoor.com/neighborhood/hillriseca--agoura-hills--ca/', 'https://nextdoor.com/neighborhood/lakelindero--agoura-hills--ca/', 'https://nextdoor.com/neighborhood/libertycanyon--agoura-hills--ca/', 'https://nextdoor.com/neighborhood/malibulakeside--agoura-hills--ca/', 'https://nextdoor.com/neighborhood/medeavalleyestates--agoura-hills--ca/', 'https://nextdoor.com/neighborhood/morrisonranchestates--agoura-hills--ca/', 'https://nextdoor.com/neighborhood/morrisonsouthmeadows--agoura-hills--ca/', 'https://nextdoor.com/neighborhood/oakviewgardens--agoura-hills--ca/', 'https://nextdoor.com/neighborhood/peacockridge--agoura-hills--ca/', 'https://nextdoor.com/neighborhood/quailrunagourahills--agoura-hills--ca/', 'https://nextdoor.com/neighborhood/reyesadobeeast--agoura-hills--ca/', 'https://nextdoor.com/neighborhood/saratogahillsranch--agoura-hills--ca/', 'https://nextdoor.com/neighborhood/seminolesprings--agoura-hills--ca/', 'https://nextdoor.com/neighborhood/strawberryhillca--agoura-hills--ca/', 'https://nextdoor.com/neighborhood/triunfolobo--agoura-hills--ca/']","[['Peaceful', 'Beautiful', 'Wildlife', 'Trees', 'Hills', 'Nature', 'Trails', 'Open', 'Friendly', 'Hiking'], ['Peaceful', 'Community', 'Friendly', 'Nature', 'Trees', 'Wildlife', 'Beautiful', 'Family Friendly', 'Hills', 'Walking'], ['Peaceful', 'Dog Friendly', 'Family Friendly', 'Restaurants', 'Community', 'Beautiful', 'Convenient', 'Food', 'Hiking', 'Hills'], ['Nature', 'Peaceful', 'Hiking', 'Safe', 'Wildlife', 'Beautiful', 'Family Friendly', 'Hills', 'Surroundings', 'Welcoming'], ['Trees'], ['Family Friendly', 'Peaceful', 'Safe', 'Friendly', 'Walkability', 'Dog Friendly', 'Clean', 'Community', 'Beautiful', 'Hills'], ['Family Friendly', 'Safe', 'Peaceful', 'Clean', 'Neighbors', 'Walkability', 'Beautiful', 'Friendly', 'Quiet', 'Dog Friendly'], ['Family Friendly', 'Dog Friendly', 'Safe', 'Peaceful', 'Neighbors', 'Beautiful', 'Restaurants', 'Clean', 'Community', 'Friendly'], ['Peaceful', 'Beautiful', 'Friendly', 'Family Friendly', 'Quiet', 'Dog Friendly', 'Hills', 'Hiking', 'Nature', 'Wildlife'], ['Peaceful', 'Beautiful', 'Nature', 'Dog Friendly', 'Quiet', 'Atmosphere', 'Wildlife', 'Charm', 'Community', 'Lake'], ['Dog Friendly', 'Family Friendly', 'Clean', 'Hills', 'Trees', 'Beautiful', 'Creek', 'Gardens', 'Gated', 'Green'], ['Family Friendly', 'Peaceful', 'Beautiful', 'Clean', 'Well Maintained', 'Dog Friendly', 'Safe', 'Community', 'Friendly', 'Neighbors'], ['Peaceful', 'Beautiful', 'Quiet', 'Safe', 'Dog Friendly', 'Pleasant', 'Clean', 'Family Friendly', 'Well Maintained', 'Food'], ['Family Friendly', 'Atmosphere', 'Beautiful', 'Safe', 'Well Maintained', 'Charm', 'Clean', 'Community', 'Dog Friendly', 'Neighbors'], ['Nature', 'Peaceful', 'Family Friendly', 'Hills', 'Restaurants', 'Food', 'Safe', 'Beautiful', 'Convenient', 'Location'], ['Family Friendly', 'Parks', 'Hills', 'Schools', 'Walking', 'Clean', 'Dog Friendly', 'Peaceful', 'Shopping', 'Trees'], ['Beautiful', 'Clean', 'Family Friendly', 'Peaceful', 'Friendly', 'Food', 'Safe', 'Charm', 'Community', 'Dog Friendly'], ['Family Friendly', 'Friendly', 'Peaceful', 'Beautiful', 'Safe', 'Dog Friendly', 'Clean', 'Hills', 'Freeway Access', 'Parks'], ['Beautiful', 'Nature', 'Peaceful', 'Dog Friendly', 'Lake', 'Quiet', 'Wildlife', 'Trees', 'Safe', 'Walkability'], ['Safe', 'Dog Friendly', 'Peaceful', 'Beautiful', 'Family Friendly', 'Friendly', 'Restaurants', 'Walkability', 'Freeway Access', 'Nature'], ['Hills', 'Clean', 'Dog Friendly', 'Family Friendly', 'Friendly', 'Houses', 'Trees', 'Beautiful', 'Birds', 'Charm']]"
agua-dulce,https://nextdoor.com/city/agua-dulce--ca/,['aguadulceca'],['https://nextdoor.com/neighborhood/aguadulceca--agua-dulce--ca/'],"[['Peaceful', 'Beautiful', 'Quiet', 'Rural', 'Nature', 'Safe', 'Neighbors', 'Wildlife', 'Friendly', 'Open']]"
aguanga,https://nextdoor.com/city/aguanga--ca/,"['aguanga', 'jojobahills', 'lakeriversideestates']","['https://nextdoor.com/neighborhood/aguanga--aguanga--ca/', 'https://nextdoor.com/neighborhood/jojobahills--aguanga--ca/', 'https://nextdoor.com/neighborhood/lakeriversideestates--aguanga--ca/']","[['Nature', 'Peaceful', 'Privacy', 'Quiet', 'Rural', 'Wildlife', 'Atmosphere', 'Beautiful', 'Birds', 'Clean'], None, ['Beautiful', 'Open', 'Peaceful', 'Rural', 'Quiet', 'Dog Friendly', 'Hills', 'Lake', 'View', 'Walkability']]"
ahwahnee,https://nextdoor.com/city/ahwahnee--ca/,"['ahwahneeca', 'countylineca']","['https://nextdoor.com/neighborhood/ahwahneeca--ahwahnee--ca/', 'https://nextdoor.com/neighborhood/countylineca--ahwahnee--ca/']","[['Peaceful', 'Beautiful', 'Rural', 'Wildlife', 'Quiet', 'Neighbors', 'Privacy', 'Trees', 'Walkability', 'Woods'], ['Beautiful', 'Dog Friendly', 'Friendly', 'Neighbors', 'Pleasant', 'Quiet', 'Secluded', 'Welcoming', 'Well Maintained']]"
alameda,https://nextdoor.com/city/alameda--ca/,"['', 'aroundralphs', 'ballenabay', 'bayfarm', 'bronzecoast', 'bruzzoneandgresham', 'buenavistaalameda', 'centralalameda', 'centralpacificthird', 'chicagodrca', 'clementaveca', 'downtownalameda', 'eastendzone', 'eastshoreoak', 'fernside', 'garfieldave', 'goldcoast', 'harborbayisle', 'harborbaypkwylooprd', 'marinaarea', 'neptunegardensca', 'poststreetneighborhood', 'saintcharlesstreet', 'shorelinedrivealameda', 'thewedgeca', 'willows', 'whaleseye', 'woodstockca']","['https://nextdoor.com/neighborhood/4thstreetneighborhoodwatch--alameda--ca/', 'https://nextdoor.com/neighborhood/aroundralphs--alameda--ca/', 'https://nextdoor.com/neighborhood/ballenabay--alameda--ca/', 'https://nextdoor.com/neighborhood/bayfarm--alameda--ca/', 'https://nextdoor.com/neighborhood/bronzecoast--alameda--ca/', 'https://nextdoor.com/neighborhood/bruzzoneandgresham--alameda--ca/', 'https://nextdoor.com/neighborhood/buenavistaalameda--alameda--ca/', 'https://nextdoor.com/neighborhood/centralalameda--alameda--ca/', 'https://nextdoor.com/neighborhood/centralpacificthird--alameda--ca/', 'https://nextdoor.com/neighborhood/chicagodrca--alameda--ca/', 'https://nextdoor.com/neighborhood/clementaveca--alameda--ca/', 'https://nextdoor.com/neighborhood/downtownalameda--alameda--ca/', 'https://nextdoor.com/neighborhood/eastendzone--alameda--ca/', 'https://nextdoor.com/neighborhood/eastshoreoak--alameda--ca/', 'https://nextdoor.com/neighborhood/fernside--alameda--ca/', 'https://nextdoor.com/neighborhood/garfieldave--alameda--ca/', 'https://nextdoor.com/neighborhood/goldcoast--alameda--ca/', 'https://nextdoor.com/neighborhood/harborbayisle--alameda--ca/', 'https://nextdoor.com/neighborhood/harborbaypkwylooprd--alameda--ca/', 'https://nextdoor.com/neighborhood/marinaarea--alameda--ca/', 'https://nextdoor.com/neighborhood/neptunegardensca--alameda--ca/', 'https://nextdoor.com/neighborhood/poststreetneighborhood--alameda--ca/', 'https://nextdoor.com/neighborhood/saintcharlesstreet--alameda--ca/', 'https://nextdoor.com/neighborhood/shorelinedrivealameda--alameda--ca/', 'https://nextdoor.com/neighborhood/thewedgeca--alameda--ca/', 'https://nextdoor.com/neighborhood/willows--alameda--ca/', 'https://nextdoor.com/neighborhood/whaleseye--alameda--ca/', 'https://nextdoor.com/neighborhood/woodstockca--alameda--ca/']","[['Walkability', 'Family Friendly', 'Neighbors', 'Bay', 'Welcoming', 'Beach', 'Diversity', 'Friendly', 'Kids', 'Peaceful'], ['Walking', 'Restaurants', 'Parks', 'Sidewalks', 'Walkability', 'Diversity', 'Friendly', 'Family Friendly', 'Food', 'Location'], ['Bay', 'Walkability', 'Walking', 'Beach', 'Dog Friendly', 'Food', 'Parks', 'Restaurants', 'Community', 'Friendly'], ['Safe', 'Peaceful', 'Family Friendly', 'Clean', 'Quiet', 'Friendly', 'Bay', 'Parks', 'Walking', 'Schools'], ['Walkability', 'Safe', 'Walking', 'Dog Friendly', 'Quiet', 'Peaceful', 'Food', 'Friendly', 'Parks', 'Restaurants'], ['Quiet', 'Diversity', 'Dog Friendly', 'Food', 'Restaurants', 'Walkability', 'Walking', 'Atmosphere', 'Charm', 'Clean'], ['Diversity', 'Food', 'Parks', 'Friendly', 'Walking', 'Dog Friendly', 'Pleasant', 'Restaurants', 'Beautiful', 'Clean'], ['Walkability', 'Walking', 'Peaceful', 'Friendly', 'Family Friendly', 'Parks', 'Quiet', 'Charm', 'Safe', 'Beautiful'], ['Neighbors', 'Safe', 'Quiet', 'Bay', 'Clean', 'Peaceful', 'Walkability', 'Walking', 'Weather', 'Birds'], ['Dog Friendly', 'Family Friendly', 'Walking', 'Restaurants', 'Community', 'Diversity', 'Quiet', 'Safe', 'Walkability', 'Beautiful'], ['Dog Friendly', 'Community', 'Family Friendly', 'Friendly', 'Houses', 'Neighbors', 'Bay', 'Diversity', 'Food', 'Historic'], ['Walking', 'Walkability', 'Architecture', 'Restaurants', 'Food', 'Parks', 'Peaceful', 'Beach', 'Charm', 'Clean'], ['Walkability', 'Family Friendly', 'Walking', 'Community', 'Friendly', 'Safe', 'Parks', 'Restaurants', 'Bay', 'Peaceful'], ['Family Friendly', 'Walkability', 'Community', 'Friendly', 'Bay', 'Peaceful', 'Clean', 'Neighbors', 'Safe', 'Walking'], ['Walkability', 'Neighbors', 'Family Friendly', 'Architecture', 'Beautiful', 'Charm', 'Clean', 'Community', 'Dog Friendly', 'Peaceful'], ['Architecture', 'Atmosphere', 'Charm', 'Family Friendly', 'Neighbors', 'Walkability', 'Clean', 'Friendly', 'Historic', 'Kids'], ['Walkability', 'Friendly', 'Architecture', 'Dog Friendly', 'Safe', 'Walking', 'Community', 'Family Friendly', 'Historic', 'Charm'], ['Bay', 'Family Friendly', 'Walking', 'Walkability', 'Peaceful', 'Safe', 'Beautiful', 'Clean', 'Friendly', 'Dog Friendly'], ['Clean', 'Friendly', 'Nice', 'Safe', 'Atmosphere', 'Bay', 'Beach', 'Beautiful', 'Family Friendly', 'Freeway Access'], ['Walkability', 'Walking', 'Restaurants', 'Dog Friendly', 'Family Friendly', 'Food', 'Architecture', 'Safe', 'Diversity', 'Neighbors'], ['Walkability', 'Walking', 'Beach', 'Parks', 'Restaurants', 'Bay', 'Family Friendly', 'Safe', 'Food', 'Charm'], ['Walkability', 'Walking', 'Family Friendly', 'Safe', 'Architecture', 'Community', 'Friendly', 'Peaceful', 'Bay', 'Charm'], None, ['Beach', 'Walkability', 'Walking', 'Bay', 'Parks', 'Peaceful', 'Safe', 'Restaurants', 'Beautiful', 'Family Friendly'], ['Walking', 'Restaurants', 'Walkability', 'Diversity', 'Atmosphere', 'Community', 'Dog Friendly', 'Food', 'Friendly', 'Historic'], ['Beach', 'Walkability', 'Bay', 'Walking', 'Atmosphere', 'Birds', 'Diversity', 'Shopping', 'Beautiful', 'Friendly'], ['Walkability', 'Family Friendly', 'Neighbors', 'Community', 'Safe', 'Charm', 'Dog Friendly', 'Historic', 'Parks', 'Quiet'], ['Birds', 'Walking', 'Bay', 'Peaceful', 'Beach', 'Family Friendly', 'Food', 'Historic', 'Restaurants', 'Safe']]"
