schoolid,schoolName,url,street_address,city,zip,lowGrade,highGrade,schoolLevel,isCharterSchool,isMagnetSchool,isVirtualSchool,isTitleISchool,districtName,countyName,rank,rankOf,rankStars,rankLevel,rankStatewidePercentage,averageStandardScore,rankMovement,numberOfStudents,teachersFulltime,isPrivate
060846000832,Boys Republic High,https://www.schooldigger.com/go/CA/schools/0846000832/school.aspx,3493 Grand Ave.,Chino Hills,91709,9,12,High,No,No,No,No,Chino Valley Unified,San Bernardino County,2061,2133,0,High,3.38,9.80223,-152,85,,False
060846009528,Butterfield Ranch Elementary,https://www.schooldigger.com/go/CA/schools/0846009528/school.aspx,6350 Mystic Canyon Dr.,Chino Hills,91709,K,6,Elementary,No,No,No,No,Chino Valley Unified,San Bernardino County,1171,5789,4,Elementary,79.77,79.97529,-47,724,,False
060846010299,Canyon Hills Junior High,https://www.schooldigger.com/go/CA/schools/0846010299/school.aspx,2500 Madrugada Dr.,Chino Hills,91709,7,8,Middle,No,No,No,No,Chino Valley Unified,San Bernardino County,336,2715,4,Middle,87.62,86.7801,-14,1114,,False
060846011737,Chaparral Elementary,https://www.schooldigger.com/go/CA/schools/0846011737/school.aspx,4849 Bird Farm Rd.,Chino Hills,91709,K,6,Elementary,No,No,No,Yes,Chino Valley Unified,San Bernardino County,1885,5789,3,Elementary,67.44,63.96162,-559,755,,False
060846010360,Chino Hills High,https://www.schooldigger.com/go/CA/schools/0846010360/school.aspx,16150 Pomona Rincon Rd.,Chino Hills,91709,9,12,High,No,No,No,No,Chino Valley Unified,San Bernardino County,252,2133,4,High,88.19,86.32913,167,2801,,False
060846010607,Chino Valley Learning Academy,https://www.schooldigger.com/go/CA/schools/0846010607/school.aspx,15650 Pipeline Ave.,Chino Hills,91709,7,12,High,No,No,No,Yes,Chino Valley Unified,San Bernardino County,,,,,,,,18,,False
060846003822,Country Springs Elementary,https://www.schooldigger.com/go/CA/schools/0846003822/school.aspx,14145 Village Center Dr.,Chino Hills,91709,K,6,Elementary,No,No,No,No,Chino Valley Unified,San Bernardino County,259,5789,5,Elementary,95.53,95.42632,-13,631,,False
060846009125,Eagle Canyon Elementary,https://www.schooldigger.com/go/CA/schools/0846009125/school.aspx,13435 Eagle Canyon Dr.,Chino Hills,91709,K,6,Elementary,No,No,No,No,Chino Valley Unified,San Bernardino County,904,5789,4,Elementary,84.38,84.96935,94,596,,False
060846009124,Gerald F. Litel Elementary,https://www.schooldigger.com/go/CA/schools/0846009124/school.aspx,3425 Eucalyptus Ave.,Chino Hills,91709,K,6,Elementary,No,No,No,No,Chino Valley Unified,San Bernardino County,1162,5789,4,Elementary,79.93,80.17582,-269,561,,False
060846000841,Glenmeade Elementary,https://www.schooldigger.com/go/CA/schools/0846000841/school.aspx,15000 Whirlaway Ln.,Chino Hills,91709,K,6,Elementary,No,No,No,Yes,Chino Valley Unified,San Bernardino County,2599,5789,3,Elementary,55.1,49.90712,-361,448,,False
060142308662,Exeter Community Day,https://www.schooldigger.com/go/CA/schools/0142308662/school.aspx,1107 E. Rocky Hill Dr.,Exeter,93221,1,12,Other,No,No,No,Yes,Exeter Unified,Tulare County,,,,,,,,7,,False
060142307466,Exeter Independent Study (Alternative),https://www.schooldigger.com/go/CA/schools/0142307466/school.aspx,505 Rocky Hill Dr.,Exeter,93221,K,12,Other,No,No,No,Yes,Exeter Unified,Tulare County,,,,,,,,27,,False
