zip_code,tag_percentage
90001,"{'Family Friendly': 0.06, 'Food': 0.08, 'Friendly': 0.08, 'Parks': 0.06, 'Nice': 0.04, 'Quiet': 0.04, 'Safe': 0.02, 'Walking': 0.08, 'Woods': 0.02, 'Architecture': 0.02, 'Dog Friendly': 0.06, 'Transportation': 0.04, 'Diversity': 0.04, 'Schools': 0.02, 'Shopping': 0.04, 'Urban': 0.04, 'Birds': 0.04, 'Restaurants': 0.02, 'Freeway Access': 0.02, 'Houses': 0.02, 'Open': 0.02, 'Proximity': 0.02, 'Sidewalks': 0.02, 'Clean': 0.04, 'Community': 0.02, 'Neighbors': 0.02, 'Running': 0.02}"
90002,"{'Friendly': 0.06, 'Freeway Access': 0.02, 'Walkability': 0.02, 'Walking': 0.06, 'Food': 0.04, 'Pleasant': 0.02, 'Schools': 0.02, 'Stores': 0.04, 'Transportation': 0.02, 'Beach': 0.04, 'Family Friendly': 0.06, 'Dog Friendly': 0.06, 'Community': 0.02, 'Neighbors': 0.02, 'Nice': 0.04, 'Open': 0.02, 'Safe': 0.04, 'Parks': 0.06, 'Clean': 0.02, 'Houses': 0.02, 'Trails': 0.02, 'Trees': 0.04, 'Urban': 0.02, 'Architecture': 0.02, 'Atmosphere': 0.02, 'Birds': 0.02, 'Events': 0.02, 'Gardens': 0.02, 'Diversity': 0.02, 'Different': 0.02, 'Restaurants': 0.02, 'Shopping': 0.02, 'Sidewalks': 0.02, 'Welcoming': 0.02}"
90003,"{'Parks': 0.04, 'Food': 0.06, 'Friendly': 0.08, 'Different': 0.04, 'Diversity': 0.04, 'Dog Friendly': 0.06, 'Family Friendly': 0.06, 'Freeway Access': 0.06, 'Walking': 0.02, 'Clean': 0.06, 'Beautiful': 0.02, 'Houses': 0.02, 'Kids': 0.04, 'Nice': 0.04, 'Atmosphere': 0.02, 'Community': 0.06, 'Quiet': 0.02, 'Architecture': 0.02, 'Beach': 0.02, 'Gardens': 0.02, 'Convenient': 0.02, 'Historic': 0.02, 'Location': 0.04, 'Schools': 0.02, 'Sidewalks': 0.02, 'Open': 0.02, 'Charm': 0.02, 'Hiking': 0.02, 'Mature': 0.02}"
90004,"{'Restaurants': 0.0643, 'Walking': 0.0714, 'Dog Friendly': 0.0714, 'Food': 0.0857, 'Diversity': 0.0714, 'Freeway Access': 0.05, 'Urban': 0.0286, 'Downtown': 0.0214, 'Gardens': 0.0071, 'Historic': 0.0429, 'Convenient': 0.05, 'Different': 0.0071, 'Friendly': 0.0429, 'Transportation': 0.0429, 'Walkability': 0.0786, 'Neighbors': 0.0214, 'Proximity': 0.0143, 'Shopping': 0.0071, 'Stores': 0.0071, 'Eclectic': 0.0071, 'Charm': 0.0214, 'Community': 0.0357, 'Beautiful': 0.0143, 'Peaceful': 0.0071, 'Quiet': 0.0071, 'Clean': 0.0071, 'Family Friendly': 0.0286, 'Architecture': 0.0286, 'Atmosphere': 0.0143, 'Events': 0.0071, 'Houses': 0.0071, 'Sidewalks': 0.0071, 'Trees': 0.0071, 'Location': 0.0071, 'Parks': 0.0071}"
90005,"{'Food': 0.07, 'Walkability': 0.05, 'Restaurants': 0.07, 'Convenient': 0.06, 'Urban': 0.06, 'Walking': 0.06, 'Diversity': 0.09, 'Dog Friendly': 0.07, 'Charm': 0.05, 'Family Friendly': 0.02, 'Friendly': 0.04, 'Hiking': 0.02, 'Parks': 0.01, 'Proximity': 0.03, 'Downtown': 0.03, 'Architecture': 0.05, 'Atmosphere': 0.04, 'Kids': 0.01, 'Quiet': 0.01, 'Weather': 0.01, 'Different': 0.01, 'Events': 0.02, 'Beautiful': 0.02, 'Community': 0.02, 'Eclectic': 0.01, 'Historic': 0.03, 'Transportation': 0.01, 'Houses': 0.01, 'Clean': 0.01, 'Peaceful': 0.01}"
90006,"{'Diversity': 0.0615, 'Parks': 0.0385, 'Walkability': 0.0615, 'Family Friendly': 0.0385, 'Friendly': 0.0538, 'Neighbors': 0.0308, 'Walking': 0.0462, 'Community': 0.0385, 'Downtown': 0.0462, 'Location': 0.0154, 'Historic': 0.0308, 'Architecture': 0.0231, 'Events': 0.0154, 'Food': 0.0692, 'Urban': 0.0231, 'Beach': 0.0077, 'Charm': 0.0308, 'Clean': 0.0231, 'Convenient': 0.0538, 'Dog Friendly': 0.0538, 'Freeway Access': 0.0231, 'Gardens': 0.0077, 'Restaurants': 0.0462, 'Pleasant': 0.0154, 'Proximity': 0.0077, 'Safe': 0.0231, 'Welcoming': 0.0077, 'Beautiful': 0.0154, 'Peaceful': 0.0231, 'Quiet': 0.0154, 'Different': 0.0154, 'Transportation': 0.0231, 'Atmosphere': 0.0077, 'Traffic': 0.0077}"
90007,"{'Historic': 0.05, 'Diversity': 0.0667, 'Architecture': 0.05, 'Dog Friendly': 0.0833, 'Food': 0.1, 'Walking': 0.0667, 'Community': 0.0333, 'Freeway Access': 0.0667, 'Neighbors': 0.0333, 'Downtown': 0.0667, 'Restaurants': 0.05, 'Friendly': 0.0667, 'Parks': 0.0333, 'Pleasant': 0.0333, 'Quiet': 0.0167, 'Clean': 0.0333, 'Walkability': 0.0333, 'Nice': 0.0167, 'Family Friendly': 0.0167, 'Open': 0.0167, 'Atmosphere': 0.0167, 'Beach': 0.0167, 'Beautiful': 0.0167, 'Urban': 0.0167}"
90008,"{'Parks': 0.0354, 'Walking': 0.0354, 'Neighbors': 0.0885, 'Restaurants': 0.0265, 'Beautiful': 0.0531, 'Food': 0.0354, 'Hills': 0.0354, 'Location': 0.0177, 'Schools': 0.0088, 'Trees': 0.0177, 'Transportation': 0.0177, 'Community': 0.0619, 'Convenient': 0.0265, 'Freeway Access': 0.0177, 'Historic': 0.0531, 'Events': 0.0177, 'Diversity': 0.0796, 'Shopping': 0.0088, 'Well Maintained': 0.0265, 'Friendly': 0.0619, 'Peaceful': 0.0265, 'Walkability': 0.0354, 'Charm': 0.0177, 'Clean': 0.0177, 'Houses': 0.0354, 'Kids': 0.0088, 'Dog Friendly': 0.0265, 'Nature': 0.0088, 'Sidewalks': 0.0088, 'Quiet': 0.0088, 'Family Friendly': 0.0442, 'View': 0.0088, 'Architecture': 0.0265}"
90010,"{'Food': 0.1, 'Convenient': 0.075, 'Walkability': 0.1, 'Freeway Access': 0.05, 'Restaurants': 0.1, 'Shopping': 0.025, 'Sidewalks': 0.025, 'Urban': 0.1, 'Walking': 0.075, 'Charm': 0.05, 'Diversity': 0.05, 'Transportation': 0.025, 'Atmosphere': 0.05, 'Dog Friendly': 0.025, 'Architecture': 0.025, 'Events': 0.025, 'Historic': 0.025, 'Downtown': 0.025, 'Proximity': 0.025, 'Schools': 0.025}"
90011,"{'Food': 0.1, 'Downtown': 0.075, 'Parks': 0.0375, 'Walking': 0.0375, 'Dog Friendly': 0.0375, 'Family Friendly': 0.0625, 'Friendly': 0.0625, 'Kids': 0.0125, 'Diversity': 0.05, 'Neighbors': 0.025, 'Freeway Access': 0.0875, 'Sidewalks': 0.0125, 'Transportation': 0.0625, 'Architecture': 0.0125, 'Different': 0.0125, 'Events': 0.0125, 'Peaceful': 0.0125, 'Safe': 0.025, 'Weather': 0.0125, 'Beach': 0.0125, 'Birds': 0.0125, 'Historic': 0.0375, 'Schools': 0.0125, 'Convenient': 0.0375, 'Restaurants': 0.0125, 'Stores': 0.0375, 'Shopping': 0.0125, 'Hiking': 0.0125, 'Large': 0.0125, 'Location': 0.025, 'Community': 0.0125, 'Running': 0.0125}"
