,city,Unnamed: 0,year_built,beds,baths,garage,price,lot_size,building_size,postal_code,baths_full,baths_half
131,Tulare,52162.5,1972.0,3.0,2.0,2.0,267000.0,8134.5,1279.0,93274.0,2.0,0.0
5,Bakersfield,53704.0,1979.0,3.0,2.0,2.0,279000.0,7703.0,1634.0,93308.0,2.0,0.0
4,Apple Valley,31723.5,1983.0,3.0,2.0,2.0,291500.0,25651.0,2176.5,92307.5,2.0,0.0
48,Hemet,37232.5,1978.0,3.0,2.0,2.0,293750.0,7405.0,1465.0,92544.0,2.0,0.0
139,Visalia,52453.0,1972.0,3.0,2.0,2.0,295000.0,7405.0,1359.0,93291.0,2.0,0.0
42,Fresno,58461.0,1972.0,3.0,2.0,2.0,295000.0,7128.0,1503.0,93720.0,2.0,0.0
68,Merced,85431.5,1972.0,3.0,2.0,2.0,308000.0,6534.0,1373.5,95341.0,2.0,0.0
65,Madera,57159.5,1972.0,3.0,2.0,2.0,310000.0,7841.0,0.0,93637.5,2.0,0.0
138,Victorville,33767.5,1990.0,3.0,2.0,2.0,335000.0,7518.0,1878.5,92394.0,2.0,0.0
94,Redding,97777.5,1977.5,3.0,2.0,2.0,338500.0,16576.0,1619.5,96002.0,2.0,0.0
