"city","city_population"
"Los Angeles","4653140"
"San Diego","1827746"
"San Jose","1189942"
"San Francisco","874961"
"Sacramento","873573"
"Fresno","654455"
"Bakersfield","584928"
"Long Beach","573116"
"Garden Grove","518307"
"Oakland","506864"
"Anaheim","442227"
"Chula Vista","434593"
"Stockton","429244"
"Riverside","427546"
"San Bernardino","420158"
"Industry","403402"
"Hayward","395708"
"Santa Ana","371942"
"Irvine","368084"
"Orange","351376"
"Santa Clarita","321765"
"Mountain View","310655"
"Fontana","286072"
"Pomona","283307"
"Palmdale","282580"
"Fullerton","280793"
"Modesto","279553"
"Oceanside","274852"
"Fairfield","272732"
"Rialto","261700"
"Corona","260242"
"Mission Viejo","256192"
"Carlsbad","247567"
"Santa Rosa","245462"
"Oxnard","244991"
"Torrance","243896"
"Whittier","240673"
"Glendale","240645"
"Woodcrest","240116"
"Fremont","235771"
"Lake Elsinore","231612"
"El Cajon","230873"
"Roseville","228924"
"West Athens","225576"
"Thousand Oaks","219584"
"Jurupa Valley","218798"
"San Marcos","218499"
"Lynwood","218480"
"East Los Angeles","215705"
"Temecula","212122"
"Wildomar","210354"
"Rosemead","209462"
"Pasadena","208784"
"Moreno Valley","207971"
"Alameda","204816"
"Florin","204105"
"Redlands","204039"
"Simi Valley","203475"
"Rancho Cucamonga","202987"
"Richmond","202653"
"Huntington Beach","200267"
"Casa de Oro-Mount Helix","199683"
"Escondido","198181"
"Santa Fe Springs","195183"
"Campbell","192898"
"Alondra Park","191738"
"Pico Rivera","190771"
"Salinas","188770"
"Florence-Graham","188153"
"Murrieta","187990"
"Sunnyvale","186759"
"Compton","183890"
"Lancaster","183868"
"Elk Grove","183220"
"Vacaville","182229"
"Hawthorne","182219"
"Highland","180994"
"Arden-Arcade","180405"
"Ontario","179820"
"Hemet","179591"
"Santa Clara","177233"
"Santa Barbara","177021"
"Cudahy","176984"
"Perris","176924"
"Paramount","176737"
"Cupertino","176588"
"Culver City","176082"
"Antioch","175501"
"Indio","175098"
"El Monte","173625"
"Aliso Viejo","173394"
"Vista","173061"
"Redwood City","173003"
"Highgrove","172530"
"Victorville","172485"
"West Rancho Dominguez","171682"
"Menifee","171030"
"Pinole","166265"
"Pittsburg","165837"
"Concord","165814"
"Chino","165438"
"Irwindale","165376"
"Valinda","164262"
"Del Aire","163585"
"Walnut Creek","162771"
"Rancho Cordova","161717"
"Lake Forest","161327"
"Newport Beach","160788"
"Ladera Ranch","160005"
"Loma Linda","158766"
"Tustin","156052"
"San Dimas","155921"
"Acton","154919"
"Union City","154469"
"Stanton","154200"
"Visalia","153572"
"Commerce","153309"
"Westmont","150854"
"Woodville","150519"
"Berkeley","148749"
"Laguna Hills","148594"
"Suisun City","144673"
"Burbank","144436"
"Bell","144298"
"Santa Maria","143863"
"Home Gardens","143423"
"San Mateo","143097"
"San Leandro","141918"
"Palo Alto","141427"
"Costa Mesa","140953"
"Poway","140295"
"Palm Springs","140256"
"Yucaipa","140182"
"Sunol","138959"
"Pleasanton","138754"
"Ashland","138281"
"Spring Valley","138161"
"Prunedale","137600"
"Huntington Park","137569"
"Ceres","137496"
"Bay Point","136424"
"Redding","136045"
"San Juan Capistrano","135885"
"Rancho San Diego","134933"
"Inglewood","133613"
"Temple City","132917"
"Carson","132863"
"Eastvale","132199"
"Hacienda Heights","131990"
"Foothill Farms","131952"
"Lawndale","131899"
"Harbison Canyon","131582"
"San Fernando","130751"
"Arcadia","129979"
"Bostonia","129891"
"Bonita","129856"
"Bloomington","128010"
"Manteca","127701"
"Monterey Park","127453"
"West Covina","126981"
"Yorba Linda","126966"
"Kennedy","126926"
"Clovis","126093"
"North Highlands","126024"
"Apple Valley","125264"
"Vallejo","124925"
"Rancho Santa Margarita","124873"
"Carmichael","124623"
"La Habra Heights","124266"
"Westminster","122676"
"Citrus","122574"
"Encinitas","122162"
"Elkhorn","122058"
"El Sobrante","121444"
"West Hollywood","121199"
"Lake Mathews","120582"
"Tarpey Village","119589"
"Orangevale","119332"
"National City","117860"
"North Fair Oaks","117282"
"Brea","116896"
"Colma","116770"
"Lakeside","116454"
"Winter Gardens","116454"
"Danville","116056"
"San Buenaventura (Ventura)","115550"
"Imperial Beach","115471"
"La Puente","115130"
"West Puente Valley","115130"
"Fairbanks Ranch","115106"
"South San Jose Hills","115040"
"Larkfield-Wikiup","114864"
"Glendora","114737"
"Chico","114417"
"Daly City","114211"
"Fairmead","113764"
"Granite Hills","113420"
"Crest","113420"
"Downey","112322"
"Rio del Mar","112090"
"Aptos Hills-Larkin Valley","112090"
"Corralitos","112090"
"Day Valley","112090"
"San Jacinto","110487"
"Cherry Valley","109848"
"Parkway","109736"
"Bayview","109518"
"Citrus Heights","109274"
"Altadena","108195"
"Laguna Beach","107167"
"Knightsen","107163"
"Bonsall","107100"
"North Tustin","106797"
"Baldwin Park","106639"
"Walnut","106348"
"Greenfield","105644"
"Hesperia","105459"
"Norwalk","105304"
"Shafter","105154"
"Hercules","105044"
"Rolling Hills Estates","104427"
"San Pablo","104367"
"Santa Cruz","103515"
"Lamont","103229"
"Weedpatch","103229"
"San Ramon","103047"
"Merced","102919"
"Dublin","102835"
"Tracy","102028"
"Bell Gardens","101965"
"French Valley","101725"
"Vista Santa Rosa","101723"
"Colton","101223"
"Castro Valley","101181"
"Montclair","100581"
