property_id,prop_type,year_built,is_new_construction,beds,baths_full,baths_half,garage,price,lot_size,building_size,line,neighborhoods,city,county,state_code,postal_code
O2199641198,single_family,1990.0,False,3.0,2,1.0,2,1420000,2800,1972,229 Hudson Bay,"['Bay Farm Island', 'Costa Brava']",Alameda,Alameda,CA,94502
O2273912222,single_family,1996.0,False,5.0,3,,3,1825000,7022,2648,2 Swift Ct,['Bay Farm Island'],Alameda,Alameda,CA,94502
O1842782533,condo,1980.0,False,3.0,2,1.0,2,910000,7500,1569,1400 Sherman St,['West End'],Alameda,Alameda,CA,94501
O1653061620,single_family,1896.0,False,5.0,3,,2,2311000,4800,2500,2855 Jackson St,['East End'],Alameda,Alameda,CA,94501
O2331935294,single_family,1998.0,False,4.0,3,,2,1930000,5483,2951,218 Creedon Cir,"['Bay Farm Island', 'The Headlands']",Alameda,Alameda,CA,94502
O2183132386,single_family,1986.0,False,3.0,2,,2,1478000,6350,1522,40 Hampton Ct,['Bay Farm Island'],Alameda,Alameda,CA,94502
O1694054156,single_family,1931.0,False,3.0,2,1.0,1,1950000,7112,2626,2981 Southwood Dr,['East End'],Alameda,Alameda,CA,94501
O2208771354,single_family,1987.0,False,3.0,2,1.0,2,1468000,4100,1652,26 Justin Cir,['Bay Farm Island'],Alameda,Alameda,CA,94502
O2188163288,condo,1980.0,False,3.0,2,1.0,2,1275000,None,1946,540 Queens Rd,['West End'],Alameda,Alameda,CA,94501
O1761430980,single_family,1915.0,False,3.0,1,,None,1065000,3420,1168,2527 Noble Ave,['East End'],Alameda,Alameda,CA,94501
O1705643864,single_family,1920.0,False,2.0,1,,1,1030000,2485,785,1023 College Ave,['East End'],Alameda,Alameda,CA,94501
O2669930023,single_family,2012.0,False,4.0,3,1.0,2,1210000,2442,2159,1629 Red Sails Ln,"['West End', 'Northern Waterfront']",Alameda,Alameda,CA,94501
O1661520989,single_family,1928.0,False,2.0,1,,1,960000,3003,1229,1117 Mound St,['East End'],Alameda,Alameda,CA,94501
O1901513658,single_family,1896.0,False,5.0,3,,None,1320000,2800,2494,1511 8th St,['West End'],Alameda,Alameda,CA,94501
O2299476658,single_family,2000.0,False,4.0,2,1.0,2,1045000,3274,1679,8 Egret Ct,['West End'],Alameda,Alameda,CA,94501
O2350940925,single_family,1999.0,False,3.0,2,1.0,2,1175000,2449,1365,1 Avocet Ct,['West End'],Alameda,Alameda,CA,94501
O9729965419,condo,1964.0,False,2.0,1,1.0,None,601000,43563,854,325 Kitty Hawk Unit Patio Rd Ste 102,None,Alameda,None,CA,94501
O1573560828,condo,2015.0,False,3.0,2,1.0,2,1155000,None,2339,429 Itliong Ln,"['West End', 'Alameda Landing']",Alameda,Alameda,CA,94501
O1177063062,single_family,2008.0,False,5.0,4,,3,1602873,5340,3743,9 Spalding Sq,"['West End', 'Bayport']",Alameda,Alameda,CA,94501
O1840658374,single_family,1910.0,False,1.0,1,,None,675000,3104,939,1721 Schiller St,['East End'],Alameda,Alameda,CA,94501
O1895960726,single_family,2004.0,False,4.0,2,1.0,2,1250000,3044,2219,428 Hollister Ave,"['West End', 'Bayport']",Alameda,Alameda,CA,94501
O2216112745,condo,1970.0,False,1.0,1,,1,460000,73424,701,1311 Webster St Apt E111,['West End'],Alameda,Alameda,CA,94501
O1916904493,single_family,1910.0,False,2.0,2,,1,1265000,5400,1866,830 Centennial Ave,"['West End', 'Gold Coast']",Alameda,Alameda,CA,94501
O1689656775,single_family,1925.0,False,2.0,1,,2,1450000,5560,1475,3230 Thompson Ave,['East End'],Alameda,Alameda,CA,94501
O1175348675,condo,2017.0,False,3.0,2,1.0,2,1110000,None,2259,2697 5th St,"['West End', 'Alameda Landing']",Alameda,Alameda,CA,94501
O1698935995,single_family,1927.0,False,3.0,2,1.0,2,1765000,4000,2113,1838 Moreland Dr,['East End'],Alameda,Alameda,CA,94501
O2335661889,single_family,2000.0,False,4.0,2,1.0,2,1065000,3276,1679,5 Whimbrel Ct,['West End'],Alameda,Alameda,CA,94501
O1702289930,single_family,1932.0,False,3.0,2,,1,1800000,4500,2584,3104 Bayo Vista Ave,['East End'],Alameda,Alameda,CA,94501
O1683023437,multi_family,1950.0,False,4.0,2,,2,1443000,6275,2474,3230 Central Ave,['East End'],Alameda,Alameda,CA,94501
O1846173734,single_family,1925.0,False,2.0,1,,1,1050000,2952,950,1707 Lafayette St,['East End'],Alameda,Alameda,CA,94501
O1757257195,multi_family,1905.0,False,3.0,3,,2,1220000,3000,2309,1010 Oak St,"['East End', 'Bronze Coast']",Alameda,Alameda,CA,94501
O2191554489,condo,1971.0,False,1.0,1,1.0,1,490000,101260,773,955 Shorepoint Ct Apt 310,"['East End', 'South Shore']",Alameda,Alameda,CA,94501
O1169348858,single_family,2016.0,False,4.0,3,1.0,2,1125000,68141,2073,1809 Balsa St,"['West End', 'Northern Waterfront']",Alameda,Alameda,CA,94501
