,population,population_rank,aland,median_household_income,average_household_income,per_capita_income,percent_of_households_with_incomes_200000_or_more,householder_under_25_years,householder_25_to_44_years,householder_45_to_64_years,householder_65_years_and_over,hhi_total,hhi_lt_25k,hhi_25k_to_49k,hhi_50k_to_749k,hhi_75k_to_999k,hhi_100k_to_1490k,hhi_150k_to_1999k,hhi_200k_or_more,race_and_ethnicity_total,population_density_sq_mi,median_age,educational_attainment_bachelors,educational_attainment_graduate,family_poverty_pct,unemployment_pct,housing_units,median_value_of_owner_occupied_units
population,1.0,-0.5219711776370197,-0.17348323782698674,-0.09920766476110422,-0.019683588064955057,0.08333328626875,-0.013067940967223236,-0.11616095357546342,-0.08035918064536832,-0.1292816077731196,-0.08454874383303777,0.047429722952170544,0.21632219087921414,0.1138760522905968,0.027878264271568927,-0.021737908109352548,-0.050727128513999804,-0.08683097815858173,-0.010157755280395152,-0.02191246172383751,0.3359372785532024,-0.0076790032889425455,0.1210158604054036,0.042486408262028305,0.13500793674879147,0.06645133382176836,0.05890200484315192,0.17219028122593732
population_rank,-0.5219711776370197,1.0,0.16036363823090014,0.09580914147974855,0.0651395107894705,0.0047978008482287,0.04828135542674957,0.04805109749946709,0.07339938193631192,0.15274135201966818,0.12292577632290566,-0.017182897631050218,-0.12962944699963008,-0.05775965404512751,-0.02630684399941513,0.004097862497189739,0.030560919040478352,0.06780280614675023,0.03526334630839991,0.024841365923876344,-0.253913378639836,0.11200287212658394,-0.06847325446229204,-0.011796649637137278,-0.1460402543002537,-0.05953885532109427,-0.020515995806744722,-0.03660907980360096
aland,-0.17348323782698674,0.16036363823090014,1.0,-0.0392140983472374,-0.0686513103784063,-0.10533062386000724,-0.07474117115751076,-0.04760461753126892,-0.07253431761627961,-0.017938077162145676,-0.006576712481242869,0.09269193091505613,0.0668769649186894,0.10824278611235272,0.09369421476804646,0.11265421175537858,0.07857579714817797,0.03863021643081153,-0.0292743241540875,0.13518533324414586,-0.3516516945553919,-0.04111727497233797,-0.1861495272270423,-0.15261218971613966,0.023260579542258776,0.055930102622551846,0.09756346940145566,-0.2029251984544887
median_household_income,-0.09920766476110422,0.09580914147974855,-0.0392140983472374,1.0,0.9317148564351118,0.8104617364848588,0.9245593183811702,0.44732757666685463,0.9347347047103984,0.9362411575044957,0.7225765069900734,-0.14966627411004782,-0.6015589184353414,-0.5651719532149806,-0.42777447833745946,-0.2020156314289699,0.10475588356561756,0.4197651170788108,0.6843239874103859,-0.2292891424051417,-0.1994317826256803,0.44703745458018934,0.6881005636459586,0.7079781748034877,-0.6407028591786472,-0.5135313670047535,-0.15506197271061278,0.6829661075617259
average_household_income,-0.019683588064955057,0.0651395107894705,-0.0686513103784063,0.9317148564351118,1.0,0.8761375530141023,0.9638409767774139,0.3864560906007692,0.878691522308616,0.898134333213125,0.7538500815553506,-0.19742860908210833,-0.5493941690633529,-0.5531561248503497,-0.4522200277985989,-0.2669945602739713,0.007503774789472657,0.3056162660710448,0.6458884620788836,-0.29909994444238075,-0.1422847056966588,0.44913017100209235,0.7376674049743831,0.7834930869308665,-0.5769387107490171,-0.4537420222626393,-0.19206945007927512,0.8300925562940107
per_capita_income,0.08333328626875,0.0047978008482287,-0.10533062386000724,0.8104617364848588,0.8761375530141023,1.0,0.8697897734957071,0.3310307482539527,0.7980493966969533,0.7616595434194637,0.6442375277546061,-0.15983930536175578,-0.42997533314781916,-0.5028714842476376,-0.4291276789187756,-0.2760762595300978,-0.036133679774366385,0.2505926080371466,0.6119609279031806,-0.3286347744443972,-0.00916927793455205,0.5744000265205345,0.7610053067593114,0.7975517741516414,-0.5654772114790176,-0.5101369827575667,-0.13674149603458324,0.8129260892665703
percent_of_households_with_incomes_200000_or_more,-0.013067940967223236,0.04828135542674957,-0.07474117115751076,0.9245593183811702,0.9638409767774139,0.8697897734957071,1.0,0.4181411080374834,0.8936138312381837,0.8888844198227758,0.7168139043786654,-0.17870556817777855,-0.5119556977006462,-0.5535398335954866,-0.47257259413523306,-0.30487822063286635,-0.023946551597937144,0.31038334018509367,0.6962485118918228,-0.2970469512064679,-0.0898611258463963,0.4409564952499639,0.7494199158752936,0.8128701232387753,-0.5668039773108817,-0.4574925298263073,-0.1733169490279211,0.8120203077541668
householder_under_25_years,-0.11616095357546342,0.04805109749946709,-0.04760461753126892,0.44732757666685463,0.3864560906007692,0.3310307482539527,0.4181411080374834,1.0,0.47757564016126475,0.34907651300925047,0.17491751198038633,-0.004724611748523711,-0.2914656738159344,-0.24531884125823686,-0.16466123545411518,-0.04323572836254907,0.12115271436052437,0.28704078597403154,0.42542609841208584,-0.046701072609677374,0.03163548137927436,0.19059398825867957,0.2753527523878359,0.24058314118243457,-0.3071408145313137,-0.24195877387848425,-0.01123254862796852,0.3161235077499189
householder_25_to_44_years,-0.08035918064536832,0.07339938193631192,-0.07253431761627961,0.9347347047103984,0.878691522308616,0.7980493966969533,0.8936138312381837,0.47757564016126475,1.0,0.8533494353688402,0.5994581262056463,-0.1527848581913425,-0.5478509593722379,-0.562830688798165,-0.448490881933048,-0.23368928152410484,0.07278919994694087,0.4036893068322822,0.6899573362955377,-0.26079775784922066,-0.08944938934262614,0.4652150824873619,0.6995800226234015,0.7095970681724483,-0.610033756779444,-0.5009077756458423,-0.1551602496292089,0.6795629984001844
householder_45_to_64_years,-0.1292816077731196,0.15274135201966818,-0.017938077162145676,0.9362411575044957,0.898134333213125,0.7616595434194637,0.8888844198227758,0.34907651300925047,0.8533494353688402,1.0,0.7947696227602212,-0.1639371808392686,-0.5944609903369522,-0.5511124601113788,-0.42025919158609293,-0.21205983004242296,0.07914278632973602,0.3833658620704116,0.6403071909125465,-0.22810241061429706,-0.27847587959242937,0.43185415091865664,0.6667769370150521,0.7428152332922687,-0.6374508342757942,-0.4937180312491214,-0.17023865729839258,0.6732380388473457
householder_65_years_and_over,-0.08454874383303777,0.12292577632290566,-0.006576712481242869,0.7225765069900734,0.7538500815553506,0.6442375277546061,0.7168139043786654,0.17491751198038633,0.5994581262056463,0.7947696227602212,1.0,-0.2084568924051023,-0.5203393397145557,-0.4708359122023764,-0.3612988779134889,-0.2070753669381592,-0.010871010900171375,0.20224657889894476,0.41339090513500093,-0.23784090022438403,-0.28344888313357447,0.3477632636278168,0.5268543704535958,0.6611951959393544,-0.5101149982524741,-0.3389281611248993,-0.20907513391054483,0.5782710544104547
hhi_total,0.047429722952170544,-0.017182897631050218,0.09269193091505613,-0.14966627411004782,-0.19742860908210833,-0.15983930536175578,-0.17870556817777855,-0.004724611748523711,-0.1527848581913425,-0.1639371808392686,-0.2084568924051023,1.0,0.6915693272096208,0.7950584554016054,0.8861975664243332,0.909552451742892,0.8547168229176544,0.6623324172658167,0.3872126318305368,0.8953562612027705,0.19304588129646932,-0.13123080137894036,-0.11660483292637715,-0.19848678330861275,-0.01757074084222723,-0.017405168490067166,0.9935632010614048,-0.15318909116416451
hhi_lt_25k,0.21632219087921414,-0.12962944699963008,0.0668769649186894,-0.6015589184353414,-0.5493941690633529,-0.42997533314781916,-0.5119556977006462,-0.2914656738159344,-0.5478509593722379,-0.5944609903369522,-0.5203393397145557,0.6915693272096208,1.0,0.8814604436966196,0.7436446913797373,0.5534613964743965,0.3044290066617654,0.02409333049785768,-0.14365574999656908,0.6450982704939358,0.38330123257846094,-0.3286127021656113,-0.4046520684887875,-0.39513169132164566,0.47562354035384613,0.32485931790782746,0.7017313081883835,-0.34207744472285867
hhi_25k_to_49k,0.1138760522905968,-0.05775965404512751,0.10824278611235272,-0.5651719532149806,-0.5531561248503497,-0.5028714842476376,-0.5535398335954866,-0.24531884125823686,-0.562830688798165,-0.5511124601113788,-0.4708359122023764,0.7950584554016054,0.8814604436966196,1.0,0.9112481685449585,0.7492498418236057,0.4836962717289048,0.13461499646890854,-0.151101013827489,0.804121412764139,0.24294898633039452,-0.33301031017391053,-0.48982943901430687,-0.5033995077870381,0.37037080754800017,0.28496203709275736,0.791726467299537,-0.42326474772510614
hhi_50k_to_749k,0.027878264271568927,-0.02630684399941513,0.09369421476804646,-0.42777447833745946,-0.4522200277985989,-0.4291276789187756,-0.47257259413523306,-0.16466123545411518,-0.448490881933048,-0.42025919158609293,-0.3612988779134889,0.8861975664243332,0.7436446913797373,0.9112481685449585,1.0,0.8974744624215689,0.6940239856282203,0.352360473252961,-0.011169628625978638,0.875244432099838,0.15388769950856496,-0.27777072819119414,-0.380678939402024,-0.45309800132940686,0.19377911863968547,0.16529115915266984,0.8766900635127799,-0.38258537342279764
hhi_75k_to_999k,-0.021737908109352548,0.004097862497189739,0.11265421175537858,-0.2020156314289699,-0.2669945602739713,-0.2760762595300978,-0.30487822063286635,-0.04323572836254907,-0.23368928152410484,-0.21205983004242296,-0.2070753669381592,0.909552451742892,0.5534613964743965,0.7492498418236057,0.8974744624215689,1.0,0.8728707419425764,0.6018719880944284,0.2065854405351012,0.8645575219299829,0.06076928623924131,-0.1683605772412654,-0.191150352892234,-0.31040764970534684,-0.021470096386469375,0.009687762091957269,0.8958136946579308,-0.2628555236402067
hhi_100k_to_1490k,-0.050727128513999804,0.030560919040478352,0.07857579714817797,0.10475588356561756,0.007503774789472657,-0.036133679774366385,-0.023946551597937144,0.12115271436052437,0.07278919994694087,0.07914278632973602,-0.010871010900171375,0.8547168229176544,0.3044290066617654,0.4836962717289048,0.6940239856282203,0.8728707419425764,1.0,0.8518356088091622,0.5056551144642861,0.7551175512889976,-0.009642660447728596,-0.018138653416608162,0.08743092292460791,-0.07255857875402312,-0.259232933986499,-0.17475551652362206,0.8385322206959107,-0.06747908761628721
