zipcode,price,population,population_rank,aland,median_household_income,average_household_income,per_capita_income,percent_of_households_with_incomes_200000_or_more,householder_under_25_years,householder_65_years_and_over,hhi_lt_25k,hhi_200k_or_more,race_and_ethnicity_total,population_density_sq_mi,median_age,educational_attainment_bachelors,educational_attainment_graduate,family_poverty_pct,unemployment_pct,housing_units,median_value_of_owner_occupied_units,violent_crime_rate,property_crime_rate,postal_code,year_built,is_single_family,is_condo,is_multi_family,is_new_construction,beds,baths,baths_beds_ratio,garage,lot_size,building_size,rank,rankOf,rankStars,rankStatewidePercentage,averageStandardScore,has_elementary,has_middle,has_high,ocean_related,environment_related,building_related,community_related,positive_comments,more_rural,more_urban,other
95818,380000,500930,6,9901472,84908,112560,52663,0.152,30278,67583,1607,1508,21625,5656.0,39.2,0.315,0.262,0.102,0.062,10673,569700,6.15,31.23,95818,2017,0,1,0,0,2,2.0,1.0,0,950,1450,2102.25,4033.75,2.5,50.49875,49.282109999999996,1.0,1.0,1.0,0,9,4,11,5,5,16,0
92336,570000,210759,20,64466270,92569,107823,28789,0.106,41500,69394,1920,2667,98346,3952.0,32.9,0.175,0.068,0.063,0.055,25702,417900,3.47,18.14,92336,1996,1,0,0,0,4,2.0,0.5,2,4600,1463,1820.5555600000002,4293.44444,2.44444,51.33333,48.58678,1.0,1.0,1.0,1,56,4,98,19,8,26,6
90049,3485000,3966936,1,38899404,129688,226246,105369,0.335,56106,126827,1918,5605,36418,2424.0,40.6,0.397,0.39,0.033,0.045,18367,2000001,4.91,21.28,90049,2021,1,0,0,1,4,4.0,1.0,2,7497,3303,1161.0,5789.0,4.0,79.94333,78.1055,1.0,0.0,0.0,2,30,3,59,20,12,33,1
94709,1125000,121485,50,1522494,71859,107788,46818,0.14,25805,85150,903,700,11951,20340.0,28.8,0.387,0.45899999999999996,0.021,0.049,5334,982100,3.66,43.33,94709,1911,0,0,1,0,4,3.0,0.75,0,2400,2005,695.0,5789.0,4.0,87.99,89.12854,1.0,0.0,0.0,0,6,0,1,2,3,8,0
92603,710000,273157,14,34312766,146505,212252,79696,0.37,2499,107283,504,2662,19558,1476.0,40.4,0.431,0.3582,0.036000000000000004,0.026000000000000002,8039,1280500,0.49,12.53,92603,2004,0,1,0,0,3,2.5,0.8333,2,6558,1443,380.0,5789.0,4.75,93.4375,93.72346,1.0,0.0,0.0,0,12,0,16,5,6,1,0
90029,726000,3966936,1,3526894,41998,60177,25449,0.038,47232,19176,4222,531,36668,26930.0,36.2,0.22899999999999998,0.07200000000000001,0.1791,0.078,15365,719900,4.91,21.28,90029,1982,0,1,0,0,2,2.5,1.25,2,9296,1181,3221.5,5020.5,2.25,41.26,39.5489,1.0,1.0,0.0,0,3,0,21,1,7,25,3
92407,550000,216089,17,164512758,68281,82441,21977,0.043,38337,46102,3181,753,68545,1079.0,29.0,0.10800000000000001,0.049,0.153,0.10400000000000001,18189,329500,9.92,43.05,92407,2016,1,0,0,0,4,3.0,0.75,2,7062,2690,2390.125,4947.75,2.625,52.055,48.70413,1.0,1.0,1.0,2,70,2,73,18,36,15,14
95831,750000,500930,6,18199581,79368,102347,44916,0.10099999999999999,29300,70699,2319,1855,43094,6132.0,43.8,0.2979,0.1759,0.048,0.046,19303,417700,6.15,31.23,95831,1990,1,0,0,0,6,3.0,0.5,2,9148,3324,2903.16667,5179.6666700000005,2.16667,46.56333,46.396770000000004,1.0,0.0,1.0,0,15,0,24,1,3,7,0
95377,616000,90675,88,279819640,111076,122372,34916,0.134,71674,71980,557,1183,32091,297.0,35.7,0.21600000000000003,0.078,0.038,0.051,9000,491600,1.52,26.59,95377,2004,1,0,0,0,4,2.0,0.5,2,5602,1841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,38,0,52,9,7,10,1
94403,1879000,104333,70,14584158,134875,173644,66566,0.319,85119,64592,1406,5268,44408,7890.0,38.6,0.3381,0.2479,0.031,0.03,17295,1199800,2.25,19.04,94403,1951,1,0,0,0,3,2.5,0.8333,2,5500,1487,1870.5,4667.3333299999995,3.16667,62.76,58.87373,1.0,1.0,1.0,3,52,0,83,10,17,24,1
94306,2452000,66573,132,10860457,143606,206988,81599,0.3792,143657,88936,1277,4045,27435,6544.0,41.2,0.285,0.522,0.046,0.028999999999999998,11399,2000001,0.88,19.34,94306,1942,1,0,0,0,3,2.0,0.6667,1,6000,1756,334.75,5020.5,4.75,94.0325,94.18652,1.0,1.0,0.0,2,18,0,27,4,3,14,2
95687,625000,98875,76,112694487,86056,103345,34285,0.09,56339,55207,2585,1995,69060,1587.0,37.8,0.14300000000000002,0.07200000000000001,0.044000000000000004,0.042,23314,408400,2.83,27.32,95687,2010,1,0,0,0,5,2.5,0.5,2,6421,2159,2629.57143,5266.71429,2.42857,53.498569999999994,50.14625,1.0,0.0,1.0,0,90,1,145,20,20,37,16
92618,1120035,273157,14,54817017,107353,135579,54103,0.188,18008,50699,2290,3610,48997,2316.0,33.9,0.387,0.289,0.071,0.044000000000000004,20640,839500,0.49,12.53,92618,2020,0,1,0,1,4,3.0,0.75,2,3422,2315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,41,1,52,8,11,12,5
92026,560000,151300,38,96393325,75868,93755,33163,0.08900000000000001,31890,51310,2393,1506,50321,1352.0,36.5,0.1959,0.10800000000000001,0.069,0.049,17995,482500,3.42,20.2,92026,1980,1,0,0,0,3,2.0,0.6667,2,4500,1229,2726.14286,4827.57143,2.1428599999999998,44.79143,41.86638,1.0,1.0,1.0,0,45,0,58,7,17,18,5
94601,705000,425097,8,8410567,50122,69923,22267,0.045,46286,44728,3900,697,53039,16340.0,33.3,0.153,0.068,0.239,0.081,16606,480000,16.85,59.43,94601,1923,1,0,0,0,2,1.0,0.5,0,7000,1199,4142.44444,4635.0,0.66667,14.02,16.17482,1.0,1.0,1.0,4,21,9,81,10,8,52,5
92706,650000,332794,11,9161338,70201,94923,26255,0.087,44938,55291,1161,814,35748,10104.0,33.2,0.1279,0.075,0.131,0.076,9579,626000,3.74,17.19,92706,1954,1,0,0,0,3,2.0,0.6667,2,6002,1152,2252.75,4106.5,2.625,49.3125,46.960159999999995,1.0,1.0,1.0,1,26,10,65,12,10,25,1
94544,970000,159293,32,28377432,82520,98408,30300,0.083,73346,54460,2546,1896,79747,7280.0,34.3,0.16,0.053,0.061,0.040999999999999995,23874,549700,3.95,31.78,94544,1955,1,0,0,0,4,2.0,0.5,2,5100,1609,3237.0,4106.5,1.0,20.02,20.24404,1.0,1.0,1.0,0,25,0,42,4,8,11,0
94089,1020000,152770,36,15517488,119054,151381,56029,0.252,217500,60690,594,2075,22882,3820.0,36.3,0.2479,0.267,0.028999999999999998,0.034,8659,293300,1.12,15.77,94089,1979,0,1,0,0,3,2.5,0.8333,2,1306,1565,2284.0,5789.0,3.0,60.545,57.72922,1.0,0.0,1.0,0,7,0,13,1,1,7,1
95340,299000,82662,102,102899941,55470,81933,28890,0.084,30150,65198,2811,989,35827,902.0,32.6,0.1321,0.114,0.165,0.1589,12654,272800,6.99,32.25,95340,1977,1,0,0,0,3,2.0,0.6667,2,6098,1526,3008.66667,4699.6666700000005,1.77778,35.91778,34.29407,1.0,1.0,1.0,1,83,4,121,27,21,28,13
92109,995000,1409573,2,19678062,80467,105397,51870,0.109,54712,62052,2425,2401,47111,6200.0,32.1,0.439,0.22,0.044000000000000004,0.03,26314,888800,3.81,19.59,92109,2009,0,1,0,0,3,3.0,1.0,2,5510,1521,680.0,4667.3333299999995,4.33333,83.44333,82.25941,1.0,1.0,1.0,23,19,0,28,8,9,21,2
92108,570000,1409573,2,11404359,75296,92207,47724,0.065,40546,51447,1472,724,22280,5060.0,31.9,0.365,0.212,0.071,0.068,12376,384800,3.81,19.59,92108,1975,0,1,0,0,4,2.0,0.5,1,250081,1576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1,7,1,3,13,1
95823,365000,500930,6,30571507,47553,61970,19714,0.023,30684,41507,5818,552,79440,6732.0,31.4,0.10400000000000001,0.032,0.1859,0.1,25022,244100,6.15,31.23,95823,1971,1,0,0,0,4,1.5,0.375,2,8712,1318,3551.14286,4827.57143,1.4285700000000001,25.96571,25.45022,1.0,1.0,1.0,0,40,0,61,2,10,25,2
92507,440000,326414,12,52351719,51288,66172,21114,0.036000000000000004,17179,52724,4288,606,59152,2926.0,26.4,0.158,0.134,0.157,0.102,18679,331500,4.33,30.88,92507,1956,1,0,0,0,3,2.0,0.6667,2,7841,1326,2554.8888899999997,4228.777779999999,2.22222,41.92222,39.41704,1.0,1.0,1.0,0,9,1,16,0,6,8,0
92868,862000,139887,41,8637187,64949,84083,27302,0.047,46413,32469,1303,381,27072,8116.0,31.9,0.2091,0.076,0.10300000000000001,0.063,8474,480700,1.01,15.92,92868,1956,1,0,0,0,2,2.0,1.0,2,15246,1798,2157.5,4106.5,2.25,47.4375,44.050670000000004,1.0,1.0,1.0,0,19,2,32,5,8,31,1
92603,681500,273157,14,34312766,146505,212252,79696,0.37,2499,107283,504,2662,19558,1476.0,40.4,0.431,0.3582,0.036000000000000004,0.026000000000000002,8039,1280500,0.49,12.53,92603,2003,0,1,0,0,2,2.5,1.25,2,6558,1489,380.0,5789.0,4.75,93.4375,93.72346,1.0,0.0,0.0,0,12,0,16,5,6,1,0
92571,450000,77290,114,58469307,64583,75170,18590,0.028999999999999998,77625,45040,1787,368,57622,2552.0,28.6,0.076,0.03,0.14,0.061,13329,280200,2.46,26.02,92571,2004,1,0,0,0,4,3.0,0.75,3,6534,2887,2782.3,4750.4,2.0,40.187,38.31358,1.0,1.0,1.0,0,43,1,69,14,12,16,8
95687,580000,98875,76,112694487,86056,103345,34285,0.09,56339,55207,2585,1995,69060,1587.0,37.8,0.14300000000000002,0.07200000000000001,0.044000000000000004,0.042,23314,408400,2.83,27.32,95687,1988,1,0,0,0,3,2.0,0.6667,1,8320,1632,2629.57143,5266.71429,2.42857,53.498569999999994,50.14625,1.0,0.0,1.0,0,90,1,145,20,20,37,16
92109,900000,1409573,2,19678062,80467,105397,51870,0.109,54712,62052,2425,2401,47111,6200.0,32.1,0.439,0.22,0.044000000000000004,0.03,26314,888800,3.81,19.59,92109,1987,0,1,0,0,3,2.5,0.8333,1,6215,1627,680.0,4667.3333299999995,4.33333,83.44333,82.25941,1.0,1.0,1.0,23,19,0,28,8,9,21,2
95833,233000,500930,6,20071718,63418,82805,31358,0.057,36524,60625,2162,830,39905,5148.0,31.5,0.212,0.1,0.08900000000000001,0.061,15414,293400,6.15,31.23,95833,1981,1,0,0,0,3,2.0,0.6667,2,5632,1270,3371.0,4947.75,1.625,32.90375,32.61805,1.0,1.0,1.0,0,22,0,31,0,6,10,1
91910,715000,268920,15,31687973,65847,85161,30011,0.057999999999999996,42188,49425,4484,1447,74855,6120.0,37.8,0.177,0.077,0.1,0.094,28165,476700,2.35,17.41,91910,1955,1,0,0,0,3,2.0,0.6667,2,9000,1431,1355.14286,4910.71429,3.4285699999999997,69.67286,67.57935,1.0,1.0,0.0,3,22,2,28,5,8,27,5
95125,1715000,1027690,3,20703047,118788,172754,69752,0.294,32461,62347,2086,6198,53155,6650.0,41.4,0.316,0.23399999999999999,0.026000000000000002,0.044000000000000004,21924,1077200,3.21,24.34,95125,1974,1,0,0,0,5,2.5,0.5,2,6081,2333,3127.0,5789.0,2.33333,45.985,46.54248,1.0,0.0,0.0,3,43,4,86,19,15,33,7
92130,2025000,1409573,2,47814706,155452,199084,71263,0.3708,30341,111953,1456,7394,56134,3040.0,39.0,0.3381,0.456,0.044000000000000004,0.048,20892,1064700,3.81,19.59,92130,1998,1,0,0,0,5,3.0,0.6,3,8022,3078,91.25,4106.5,5.0,98.0825,97.639,1.0,1.0,1.0,1,40,0,85,15,15,10,4
90037,710000,3966936,1,7348156,35424,49627,14445,0.012,25862,21484,6524,210,67640,23840.0,30.7,0.055,0.015,0.29600000000000004,0.077,18682,407200,4.91,21.28,90037,1910,1,0,0,0,3,3.0,1.0,2,5721,1641,2967.1111100000003,4976.55556,1.8888900000000002,41.801109999999994,40.22294,1.0,0.0,1.0,0,5,1,11,1,2,10,0
91362,1065000,127873,46,50835804,117566,163157,61494,0.259,50972,91563,1227,3504,36604,1865.0,45.9,0.305,0.2429,0.018000000000000002,0.047,14306,814000,0.99,12.38,91362,1984,1,0,0,0,4,3.5,0.875,2,10431,2410,1283.6666699999998,4155.0,3.33333,66.91167,66.22719000000001,1.0,1.0,1.0,1,85,2,140,33,32,26,11
91786,400000,76596,116,23184079,61898,74702,27601,0.037000000000000005,36414,50264,3388,712,53697,6000.0,34.8,0.1691,0.084,0.115,0.055999999999999994,19783,437900,2.24,28.57,91786,1974,0,1,0,0,2,2.0,1.0,2,1848,1386,2849.0,5332.0,2.25,44.73375,41.64314,1.0,0.0,1.0,4,112,12,185,41,36,76,17
92780,475000,79863,108,18112940,75378,97175,31915,0.09300000000000001,59289,50769,2215,1724,59499,8504.0,33.8,0.239,0.1071,0.08199999999999999,0.04,19462,590300,1.67,17.15,92780,1965,0,1,0,0,4,2.5,0.625,2,1387,1392,2732.75,4179.25,1.75,35.78875,33.79871,1.0,1.0,1.0,1,60,3,134,20,10,54,8
94611,930000,425097,8,27357586,129576,181251,81936,0.3171,80625,83958,2113,5469,38975,3690.0,44.9,0.3718,0.3682,0.018000000000000002,0.033,17841,1109200,16.85,59.43,94611,1922,1,0,0,0,3,1.5,0.5,1,5500,1857,1441.5,4490.75,3.125,61.97875,61.10311,1.0,1.0,1.0,0,27,1,28,10,17,11,6
95035,1155000,79517,109,60562911,132236,154546,47669,0.28300000000000003,76146,72950,2053,6685,79655,3406.0,36.3,0.305,0.2009,0.043,0.037000000000000005,24703,859600,1.59,30.2,95035,2018,0,1,0,0,3,2.5,0.8333,2,2128,2338,934.6,5057.8,3.8,74.15,73.30908000000001,1.0,0.0,1.0,5,120,3,154,32,47,77,11
95380,250000,72904,121,194421153,46580,64737,22623,0.027999999999999997,41522,34140,3857,406,42866,571.0,32.0,0.10300000000000001,0.044000000000000004,0.1641,0.09,15154,274500,5.26,35.46,95380,1945,1,0,0,0,2,1.0,0.5,0,8250,884,2940.85714,4305.28571,1.4285700000000001,29.262859999999996,27.87067,1.0,1.0,1.0,1,51,5,103,23,14,35,14
94534,700000,115282,54,205016160,114537,142639,48925,0.192,52813,80610,909,2519,39239,495.8,40.9,0.27899999999999997,0.121,0.026000000000000002,0.032,13611,495200,4.71,35.11,94534,2001,1,0,0,0,4,2.5,0.625,2,5998,2818,1493.55556,5041.222220000001,3.55556,71.90666999999999,70.06361,1.0,1.0,1.0,1,106,2,143,41,25,27,5
92128,1115000,1409573,2,28967730,103238,123553,51182,0.16,64852,64487,1694,3333,51357,4590.0,44.0,0.345,0.271,0.034,0.05,21567,623100,3.81,19.59,92128,1997,1,0,0,0,5,3.0,0.6,3,7499,2464,423.66667,4667.3333299999995,4.5,91.32167,91.70685999999999,1.0,1.0,1.0,0,22,0,49,6,5,11,3
92503,332200,326414,12,77488367,71542,86712,25140,0.068,47610,46250,3756,1695,95551,3194.0,33.6,0.12300000000000001,0.055999999999999994,0.10400000000000001,0.055,25788,369700,4.33,30.88,92503,1958,1,0,0,0,4,2.0,0.5,2,7405,1596,2679.16667,3545.6666700000005,1.5,28.38167,27.881240000000002,1.0,1.0,1.0,0,26,1,36,9,11,8,5
90241,465000,112322,59,12753184,72715,87522,28169,0.065,63061,53125,1525,854,43215,8776.0,36.0,0.1709,0.07,0.08900000000000001,0.061,13912,582300,2.47,25.5,90241,1973,0,1,0,0,2,3.0,1.5,2,107362,1440,1701.0,3711.8,2.4,50.736000000000004,47.01372,1.0,1.0,1.0,0,34,0,38,6,7,24,1
92586,225000,90349,89,18285201,40757,54931,26872,0.019,56744,31446,2666,172,19472,2758.0,59.8,0.083,0.054000000000000006,0.055999999999999994,0.079,9842,235600,1.26,17.69,92586,1973,0,1,0,0,2,2.0,1.0,2,2178,1285,1645.3333300000002,4764.3333299999995,3.33333,64.02333,59.20026,1.0,1.0,0.0,0,31,1,44,5,10,16,3
92057,604000,175622,28,39070099,75687,96228,32599,0.087,52439,52579,2352,1697,60414,4004.0,37.9,0.2009,0.099,0.057,0.064,20398,460600,3.74,22.88,92057,2000,1,0,0,0,3,2.5,0.8333,2,3401,1718,1762.88889,4293.44444,3.11111,61.21889,59.37433000000001,1.0,1.0,1.0,3,85,3,134,23,21,28,5
92117,855000,1409573,2,22756758,86243,104505,40611,0.106,63325,61907,2679,2224,56983,6484.0,37.6,0.282,0.175,0.063,0.038,21913,612000,3.81,19.59,92117,1962,0,0,1,0,4,2.0,0.5,0,6499,1524,1417.57143,4388.42857,3.1428599999999998,62.44,59.57659,1.0,1.0,1.0,3,22,0,53,3,7,39,3
93313,258000,377917,9,258189916,75162,91849,25564,0.035,35893,49573,1480,502,55221,554.0,29.8,0.114,0.04,0.086,0.095,15111,243100,4.57,39.72,93313,2012,1,0,0,0,4,2.5,0.625,0,4356,1903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,71,3,110,22,11,15,11
90803,875000,466776,7,10444951,90278,124551,66220,0.1489,36250,83266,1942,2483,32126,7970.0,45.4,0.324,0.22899999999999998,0.031,0.043,18134,897800,4.89,26.4,90803,1967,0,1,0,0,2,2.0,1.0,0,31015,1510,640.8,5174.2,4.6,88.09,87.01221,1.0,1.0,0.0,11,10,1,34,9,5,19,1
95123,1180000,1027690,3,21456017,117579,136396,47390,0.212,53162,69433,1817,4917,68766,8300.0,37.4,0.292,0.152,0.037000000000000005,0.046,24209,806300,3.21,24.34,95123,1977,1,0,0,0,3,2.0,0.6667,2,4950,1362,2402.85714,4827.57143,2.28571,49.727140000000006,47.568999999999996,1.0,1.0,1.0,0,55,0,95,9,20,57,4
94544,408000,159293,32,28377432,82520,98408,30300,0.083,73346,54460,2546,1896,79747,7280.0,34.3,0.16,0.053,0.061,0.040999999999999995,23874,549700,3.95,31.78,94544,1979,0,1,0,0,2,2.0,1.0,0,5445,1060,3237.0,4106.5,1.0,20.02,20.24404,1.0,1.0,1.0,0,25,0,42,4,8,11,0
93901,801000,156143,35,37859965,64678,81944,29778,0.061,47569,54873,1823,605,28194,1929.0,34.4,0.158,0.085,0.10400000000000001,0.048,10368,490300,6.35,33.31,93901,1965,1,0,0,0,3,4.0,1.3333,2,10698,2586,2987.0,5057.8,2.0,44.306000000000004,41.51538,1.0,0.0,1.0,0,59,4,91,12,10,40,15
95835,592000,500930,6,23131552,102895,124221,43468,0.124,106094,75037,885,1696,40170,4496.0,38.2,0.3079,0.1659,0.032,0.035,14180,398000,6.15,31.23,95835,2004,1,0,0,0,4,3.0,0.75,2,6599,2618,2218.42857,4827.57143,2.71429,52.51571,49.977759999999996,1.0,1.0,1.0,0,34,0,46,2,7,11,0
92660,3715000,85694,98,25301717,123955,198667,85281,0.302,51406,92308,1794,4549,35446,3628.0,45.5,0.40399999999999997,0.273,0.062,0.04,16957,1668800,1.24,21.42,92660,1998,1,0,0,0,4,4.5,1.125,3,8973,4479,203.5,4875.0,5.0,95.93,95.79054000000001,1.0,0.0,1.0,30,53,1,107,29,19,44,7
94538,945000,235740,16,42661555,112473,133080,45948,0.1891,130978,52352,1953,4190,67474,4096.0,35.7,0.252,0.231,0.032,0.035,23118,790700,1.25,17.18,94538,1958,1,0,0,0,3,2.0,0.6667,0,6000,1321,721.2,4443.0,4.4,84.604,83.86704,1.0,1.0,1.0,1,30,1,33,7,9,15,4
93534,350000,159028,33,46020157,41537,51358,19401,0.012,31500,24288,4759,177,39367,2216.0,33.2,0.106,0.057999999999999996,0.217,0.068,15883,224800,5.56,22.85,93534,1957,1,0,0,0,4,2.0,0.5,2,7369,2036,4239.5,4875.0,1.0,16.5075,19.63084,1.0,0.0,1.0,2,46,2,83,16,11,41,14
92337,380000,210759,20,36077348,83081,93095,25107,0.043,62656,57646,919,431,39240,2816.0,30.2,0.146,0.032,0.087,0.059000000000000004,10371,352100,3.47,18.14,92337,1986,1,0,0,0,3,2.0,0.6667,0,6000,1125,2573.5,4326.6,1.9,40.442,37.10267,1.0,0.0,1.0,0,28,0,33,6,13,13,3
92544,172000,84542,100,351548880,52744,67659,22472,0.033,54500,43151,3706,516,49923,367.8,35.9,0.073,0.057999999999999996,0.155,0.11,17197,230800,5.22,40.73,92544,1963,1,0,0,0,2,2.0,1.0,1,4356,1073,3243.42857,4305.28571,1.4285700000000001,30.69857,29.9928,1.0,1.0,1.0,1,61,4,93,15,37,9,16
92683,835000,91137,87,25909717,62617,89346,28692,0.087,38088,40401,6108,2394,91105,9100.0,41.8,0.1959,0.07400000000000001,0.134,0.053,28494,603800,2.1,23.97,92683,2018,1,0,0,0,4,3.0,0.75,2,1958,1887,1502.1666699999998,4667.3333299999995,3.33333,69.84167,66.66718,1.0,1.0,1.0,12,63,1,111,12,11,50,9
92705,765000,332794,11,29931652,108786,150753,48363,0.235,76786,103606,1239,3463,47298,4092.0,39.2,0.26,0.1589,0.057999999999999996,0.032,15577,861400,3.74,17.19,92705,1972,1,0,0,0,4,2.0,0.5,2,6023,1575,1557.5,3351.66667,2.66667,53.418330000000005,51.60131,1.0,0.0,1.0,0,67,2,86,25,18,32,10
91106,2800000,141258,40,7628388,82211,116786,50160,0.124,29792,58727,1900,1322,25543,8670.0,34.2,0.3179,0.2842,0.09300000000000001,0.05,12062,737600,2.81,24.71,91106,1926,1,0,0,0,4,4.0,1.0,1,10454,3068,3132.0,3961.0,1.5,28.605,29.449,1.0,0.0,1.0,0,12,7,19,6,4,19,3
91790,533000,106589,66,14950676,82128,98317,28287,0.09300000000000001,29961,63906,1236,1143,45444,7870.0,37.5,0.17,0.061,0.049,0.052000000000000005,12717,514800,2.08,26.19,91790,1953,1,0,0,0,3,1.0,0.3333,2,7262,1020,2202.28571,4827.57143,2.71429,54.748569999999994,50.516000000000005,1.0,1.0,1.0,1,34,2,58,6,6,32,7
92627,1275000,113159,57,16510525,79790,105353,38719,0.11900000000000001,37895,49821,3192,2648,63161,9900.0,35.2,0.2479,0.124,0.094,0.046,23202,742100,2.82,30.72,92627,2019,1,0,0,0,3,3.0,1.0,2,4358,2034,1908.0,3595.4,2.0,41.388000000000005,40.76681,1.0,0.0,1.0,8,20,0,43,4,12,25,4
92069,430000,95355,79,42610296,71488,94948,29886,0.081,40305,55412,2008,1217,50376,3062.0,34.3,0.187,0.091,0.078,0.044000000000000004,15674,513700,2.16,14.16,92069,2005,0,1,0,0,2,2.0,1.0,2,80586,1173,905.8,4326.6,3.8,74.352,73.3856,1.0,0.0,1.0,0,46,2,79,13,12,27,11
91104,615000,141258,40,9856461,77919,109067,39342,0.156,50464,45405,2574,2055,37874,9950.0,40.5,0.257,0.188,0.094,0.043,13972,744000,2.81,24.71,91104,1985,0,1,0,0,2,3.0,1.5,2,39627,1102,2944.66667,4570.3333299999995,2.0,43.65333,42.25562,1.0,0.0,1.0,0,16,14,35,13,4,8,0
91104,690000,141258,40,9856461,77919,109067,39342,0.156,50464,45405,2574,2055,37874,9950.0,40.5,0.257,0.188,0.094,0.043,13972,744000,2.81,24.71,91104,1985,1,0,0,0,3,2.0,0.6667,2,3919,1036,2944.66667,4570.3333299999995,2.0,43.65333,42.25562,1.0,0.0,1.0,0,16,14,35,13,4,8,0
92883,532000,166972,31,144238306,111149,128883,39546,0.153,35058,68534,803,1607,35933,645.0,38.0,0.188,0.124,0.037000000000000005,0.046,11137,472300,1.06,21.35,92883,1987,1,0,0,0,4,2.0,0.5,2,6534,1545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,34,0,63,7,15,8,3
92532,540000,65817,135,46746478,87636,99116,28592,0.06,80694,47045,778,427,25923,1436.0,32.0,0.1909,0.076,0.102,0.057,7897,371000,2.18,28.33,92532,2006,1,0,0,0,5,3.0,0.6,2,6970,2618,1701.6666699999998,4667.3333299999995,3.16667,64.44667,60.00756,1.0,1.0,1.0,0,15,0,21,3,6,5,0
94158,1812500,874961,4,1800349,156856,180672,96624,0.3591,125994,11717,726,1602,8455,12160.0,34.4,0.3582,0.3782,0.066,0.023,5114,1061700,7.95,53.03,94158,2016,0,1,0,0,2,2.0,1.0,1,84867,1422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,0,8,1,2,12,1
94116,1075000,874961,4,6699043,116089,163000,57758,0.262,71542,68342,1711,4254,47346,18300.0,44.4,0.3618,0.188,0.023,0.048,16929,1080100,7.95,53.03,94116,2003,0,1,0,0,3,2.0,0.6667,1,2996,1562,613.8,4443.0,4.2,84.31200000000001,83.0128,1.0,1.0,1.0,2,9,1,8,2,2,6,0
92879,552000,166972,31,26002770,69801,86127,27775,0.063,38821,44226,2240,895,47872,4770.0,34.4,0.156,0.068,0.111,0.047,14841,413400,1.06,21.35,92879,1997,1,0,0,0,3,2.5,0.8333,2,3485,1699,1633.1666699999998,4570.3333299999995,3.0,59.615,56.48561,1.0,0.0,1.0,1,22,2,38,7,5,21,4
92117,1020000,1409573,2,22756758,86243,104505,40611,0.106,63325,61907,2679,2224,56983,6484.0,37.6,0.282,0.175,0.063,0.038,21913,612000,3.81,19.59,92117,1959,1,0,0,0,4,2.0,0.5,2,12197,1808,1417.57143,4388.42857,3.1428599999999998,62.44,59.57659,1.0,1.0,1.0,3,22,0,53,3,7,39,3
