property_id,prop_type,year_built,is_new_construction,beds,baths_full,baths_half,garage,lot_size,building_size,neighborhoods,city,county,state_code,postal_code
O2199641198,single_family,1990.0,False,3.0,2,1.0,2,2800,1972,"['Bay Farm Island', 'Costa Brava']",Alameda,Alameda,CA,94502
O2273912222,single_family,1996.0,False,5.0,3,,3,7022,2648,['Bay Farm Island'],Alameda,Alameda,CA,94502
O1842782533,condo,1980.0,False,3.0,2,1.0,2,7500,1569,['West End'],Alameda,Alameda,CA,94501
O1653061620,single_family,1896.0,False,5.0,3,,2,4800,2500,['East End'],Alameda,Alameda,CA,94501
O2331935294,single_family,1998.0,False,4.0,3,,2,5483,2951,"['Bay Farm Island', 'The Headlands']",Alameda,Alameda,CA,94502
O2183132386,single_family,1986.0,False,3.0,2,,2,6350,1522,['Bay Farm Island'],Alameda,Alameda,CA,94502
O1694054156,single_family,1931.0,False,3.0,2,1.0,1,7112,2626,['East End'],Alameda,Alameda,CA,94501
O2208771354,single_family,1987.0,False,3.0,2,1.0,2,4100,1652,['Bay Farm Island'],Alameda,Alameda,CA,94502
O2188163288,condo,1980.0,False,3.0,2,1.0,2,None,1946,['West End'],Alameda,Alameda,CA,94501
O1761430980,single_family,1915.0,False,3.0,1,,None,3420,1168,['East End'],Alameda,Alameda,CA,94501
O1705643864,single_family,1920.0,False,2.0,1,,1,2485,785,['East End'],Alameda,Alameda,CA,94501
O2669930023,single_family,2012.0,False,4.0,3,1.0,2,2442,2159,"['West End', 'Northern Waterfront']",Alameda,Alameda,CA,94501
O1661520989,single_family,1928.0,False,2.0,1,,1,3003,1229,['East End'],Alameda,Alameda,CA,94501
O1901513658,single_family,1896.0,False,5.0,3,,None,2800,2494,['West End'],Alameda,Alameda,CA,94501
O2299476658,single_family,2000.0,False,4.0,2,1.0,2,3274,1679,['West End'],Alameda,Alameda,CA,94501
O2350940925,single_family,1999.0,False,3.0,2,1.0,2,2449,1365,['West End'],Alameda,Alameda,CA,94501
O9729965419,condo,1964.0,False,2.0,1,1.0,None,43563,854,None,Alameda,None,CA,94501
O1573560828,condo,2015.0,False,3.0,2,1.0,2,None,2339,"['West End', 'Alameda Landing']",Alameda,Alameda,CA,94501
O1177063062,single_family,2008.0,False,5.0,4,,3,5340,3743,"['West End', 'Bayport']",Alameda,Alameda,CA,94501
O1840658374,single_family,1910.0,False,1.0,1,,None,3104,939,['East End'],Alameda,Alameda,CA,94501
O1895960726,single_family,2004.0,False,4.0,2,1.0,2,3044,2219,"['West End', 'Bayport']",Alameda,Alameda,CA,94501
O2216112745,condo,1970.0,False,1.0,1,,1,73424,701,['West End'],Alameda,Alameda,CA,94501
O1916904493,single_family,1910.0,False,2.0,2,,1,5400,1866,"['West End', 'Gold Coast']",Alameda,Alameda,CA,94501
O1689656775,single_family,1925.0,False,2.0,1,,2,5560,1475,['East End'],Alameda,Alameda,CA,94501
O1175348675,condo,2017.0,False,3.0,2,1.0,2,None,2259,"['West End', 'Alameda Landing']",Alameda,Alameda,CA,94501
O1698935995,single_family,1927.0,False,3.0,2,1.0,2,4000,2113,['East End'],Alameda,Alameda,CA,94501
O2335661889,single_family,2000.0,False,4.0,2,1.0,2,3276,1679,['West End'],Alameda,Alameda,CA,94501
O1702289930,single_family,1932.0,False,3.0,2,,1,4500,2584,['East End'],Alameda,Alameda,CA,94501
O1683023437,multi_family,1950.0,False,4.0,2,,2,6275,2474,['East End'],Alameda,Alameda,CA,94501
